IAPS,valence,cond,cue,sub,time,order
4616,pos,pre_new,cookingpan3,4616,0,300
2224,pos,sub,glove6,2224,0,301
2299,pos,sub,doorknob4,2299,0,302
1605,pos,sub,tape8,1605,0,303
4612,pos,sub,rollerskates16,4612,0,304
2389,pos,sub,suitcase9,2389,0,305
5780,pos,sub,gift15,5780,0,306
8030,pos,sub,button5,8030,0,307
8210,pos,pre_new,frame10,8210,0,308
2594,pos,sub,scale13,2594,0,309
8499,pos,sub,exercise_equipment5,8499,0,310
7280,pos,sub,lei9,7280,0,311
8031,pos,sub,chessboard14,8031,0,312
2655,pos,pre_new,dresser12,2655,0,313
2560,pos,sub,nunchaku16,2560,0,314
2346,pos,pre_new,calculator3,2346,0,315
2156,pos,sub,balloon10,2156,0,316
8600,pos,sub,umbrella2,8600,0,317
1731,pos,sub,fan2,1731,0,318
2030,pos,sub,powerstrip12,2030,0,319
5470,pos,sub,key3,5470,0,320
8370,pos,sub,abacus9,8370,0,321
8118,pos,pre_new,scissors5,8118,0,322
8330,pos,sub,cookie1,8330,0,323
8470,pos,pre_new,windchime16,8470,0,324
8162,pos,sub,clock1,8162,0,325
1463,pos,pre_new,dumbbell0,1463,0,326
2339,pos,sub,turtle3,2339,0,327
1419,pos,pre_new,backpack6,1419,0,328
5199,pos,sub,hourglass16,5199,0,329
2035,pos,sub,frisbee0,2035,0,330
2216,pos,sub,camera7,2216,0,331
5726,pos,sub,hairbrush9,5726,0,332
7440,pos,sub,binoculars14,7440,0,333
8497,pos,sub,lock14,8497,0,334
2598,pos,sub,cheesegrater14,2598,0,335
2370,pos,pre_new,hanger9,2370,0,336
4614,pos,sub,cushion2,4614,0,337
8492,pos,pre_new,coin15,8492,0,338
8496,pos,sub,pokercard14,8496,0,339
5621,pos,sub,bowtie11,5621,0,340
5910,pos,sub,vase15,5910,0,341
4628,pos,sub,decorativescreen10,4628,0,342
2388,pos,sub,garbagetrash14,2388,0,343
1811,pos,sub,handbag3,1811,0,344
1811,pos,sub,handbag3,1811,1,355
2035,pos,sub,frisbee0,2035,1,356
7280,pos,sub,lei9,7280,1,357
2156,pos,sub,balloon10,2156,1,358
8497,pos,sub,lock14,8497,1,359
2224,pos,sub,glove6,2224,1,360
2389,pos,sub,suitcase9,2389,1,361
2594,pos,sub,scale13,2594,1,362
4612,pos,sub,rollerskates16,4612,1,363
8496,pos,sub,pokercard14,8496,1,364
4614,pos,sub,cushion2,4614,1,365
2030,pos,sub,powerstrip12,2030,1,366
1731,pos,sub,fan2,1731,1,367
8030,pos,sub,button5,8030,1,368
5910,pos,sub,vase15,5910,1,369
8330,pos,sub,cookie1,8330,1,370
4628,pos,sub,decorativescreen10,4628,1,371
2299,pos,sub,doorknob4,2299,1,372
2388,pos,sub,garbagetrash14,2388,1,373
8600,pos,sub,umbrella2,8600,1,374
8499,pos,sub,exercise_equipment5,8499,1,375
5470,pos,sub,key3,5470,1,376
8370,pos,sub,abacus9,8370,1,377
5199,pos,sub,hourglass16,5199,1,378
5726,pos,sub,hairbrush9,5726,1,379
8031,pos,sub,chessboard14,8031,1,380
2339,pos,sub,turtle3,2339,1,381
5621,pos,sub,bowtie11,5621,1,382
1605,pos,sub,tape8,1605,1,383
2216,pos,sub,camera7,2216,1,384
2560,pos,sub,nunchaku16,2560,1,385
7440,pos,sub,binoculars14,7440,1,386
5780,pos,sub,gift15,5780,1,387
2598,pos,sub,cheesegrater14,2598,1,388
8162,pos,sub,clock1,8162,1,389
