cond,itemID,value,subjID,gender,age,quesName
d,0,2,20,0,24,rrs
d,1,2,20,0,24,rrs
d,2,3,20,0,24,rrs
d,3,2,20,0,24,rrs
b,4,3,20,0,24,rrs
d,5,2,20,0,24,rrs
r,6,2,20,0,24,rrs
d,7,2,20,0,24,rrs
d,8,1,20,0,24,rrs
b,9,1,20,0,24,rrs
r,10,1,20,0,24,rrs
r,11,1,20,0,24,rrs
b,12,2,20,0,24,rrs
d,13,1,20,0,24,rrs
b,14,1,20,0,24,rrs
b,15,2,20,0,24,rrs
d,16,1,20,0,24,rrs
d,17,2,20,0,24,rrs
d,18,1,20,0,24,rrs
r,19,1,20,0,24,rrs
r,20,1,20,0,24,rrs
d,21,1,20,0,24,rrs
