IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,cycleN,correct
1920,filler,microscope1,34,pos,21,1,20,1,60,0,1
3216,nt,compass1,2,neg1,21,1,20,1,61,0,0
9611,nt,exercise_equipment5,12,neg1,21,1,20,1,62,0,1
2273,filler,rollerskates16,48,neu,21,1,20,1,63,0,1
2487,filler,scissors5,55,neu,21,1,20,1,64,0,1
2490,b,camera7,18,neg2,21,1,20,1,65,0,1
9921,b,hairbrush9,29,neg2,21,1,20,1,66,0,1
2396,t,toothpaste14,54,neu,21,1,20,1,67,0,0
9163,b,frisbee0,23,neg2,21,1,20,1,68,0,0
9075,nt,broom11,7,neg1,21,1,20,1,69,0,1
1340,t,tent4,30,pos,21,1,20,1,70,0,1
3300,nt,decorativescreen10,3,neg1,21,1,20,1,71,0,1
7230,t,pokercard14,42,pos,21,1,20,1,72,0,1
3195,b,tennisracquet7,20,neg2,21,1,20,1,73,0,1
2272,t,powerstrip12,47,neu,21,1,20,1,74,0,1
2750,nt,suitcase9,1,neg1,21,1,20,1,75,0,1
2683,nt,doorknob4,0,neg1,21,1,20,1,76,0,1
2870,filler,turtle3,57,neu,21,1,20,1,77,0,1
9599,b,vase15,27,neg2,21,1,20,1,78,0,1
2749,t,binoculars14,56,neu,21,1,20,1,79,0,1
9290,nt,stapler5,9,neg1,21,1,20,1,80,0,1
9425,b,ringbinder8,26,neg2,21,1,20,1,81,0,1
2345.1,b,umbrella2,16,neg2,21,1,20,1,82,0,1
9909,nt,chessboard14,14,neg1,21,1,20,1,83,0,1
2309,t,calculator3,50,neu,21,1,20,1,84,0,1
9415,nt,cushion2,10,neg1,21,1,20,1,85,0,0
2154,t,bowtie11,36,pos,21,1,20,1,86,0,1
6520,nt,cookingpan3,5,neg1,21,1,20,1,87,0,1
9428,nt,dresser12,11,neg1,21,1,20,1,88,0,1
9187,nt,frame10,8,neg1,21,1,20,1,89,0,1
6821,b,cheesegrater14,22,neg2,21,1,20,1,90,0,1
8120,t,lei9,44,pos,21,1,20,1,91,0,1
2205,b,garbagetrash14,15,neg2,21,1,20,1,92,0,1
1303,filler,hourglass16,45,neu,21,1,20,1,93,0,1
4626,filler,cheese8,41,pos,21,1,20,1,94,0,1
9910,b,lock14,28,neg2,21,1,20,1,95,0,1
7325,filler,cookpot16,43,pos,21,1,20,1,96,0,1
2383,t,handbag3,52,neu,21,1,20,1,97,0,1
3500,b,abacus9,21,neg2,21,1,20,1,98,0,1
6838,nt,gift15,6,neg1,21,1,20,1,99,0,1
1659,filler,fan2,32,pos,21,1,20,1,100,0,1
2980,t,clock1,58,neu,21,1,20,1,101,0,0
2340,filler,cookie1,37,pos,21,1,20,1,102,0,1
2590,b,dumbbell0,19,neg2,21,1,20,1,103,0,1
9321,b,nunchaku16,25,neg2,21,1,20,1,104,0,0
2456,b,bearteddy16,17,neg2,21,1,20,1,105,0,1
9908,nt,glove6,13,neg1,21,1,20,1,106,0,1
2102,t,microwave1,46,neu,21,1,20,1,107,0,1
7057,t,button5,59,neu,21,1,20,1,108,0,1
2530,t,bonzai14,40,pos,21,1,20,1,109,0,1
2390,t,hanger9,53,neu,21,1,20,1,110,0,0
1710,t,coin15,33,pos,21,1,20,1,111,0,1
2308,t,butterfly8,49,neu,21,1,20,1,112,0,0
2091,t,tape8,35,pos,21,1,20,1,113,0,1
2382,filler,seashell9,51,neu,21,1,20,1,114,0,1
2398,t,scale13,39,pos,21,1,20,1,115,0,1
1601,t,backpack6,31,pos,21,1,20,1,116,0,1
2373,t,key3,38,pos,21,1,20,1,117,0,1
9301,b,windchime16,24,neg2,21,1,20,1,118,0,1
6212,nt,balloon10,4,neg1,21,1,20,1,119,0,1
2308,t,butterfly8,49,neu,21,1,20,1,120,1,1
9321,b,nunchaku16,25,neg2,21,1,20,1,121,1,1
2980,t,clock1,58,neu,21,1,20,1,122,1,1
2396,t,toothpaste14,54,neu,21,1,20,1,123,1,1
9415,nt,cushion2,10,neg1,21,1,20,1,124,1,1
9163,b,frisbee0,23,neg2,21,1,20,1,125,1,1
2390,t,hanger9,53,neu,21,1,20,1,126,1,1
3216,nt,compass1,2,neg1,21,1,20,1,127,1,1
