itemID,cond,value,subjID,gender,age,CB
0,r,3,6,1,22,2
1,n,1,6,1,22,2
2,r,3,6,1,22,2
3,n,1,6,1,22,2
4,r,4,6,1,22,2
5,r,4,6,1,22,2
6,n,1,6,1,22,2
7,n,3,6,1,22,2
8,r,3,6,1,22,2
9,n,2,6,1,22,2
10,n,2,6,1,22,2
11,r,3,6,1,22,2
12,r,2,6,1,22,2
13,n,1,6,1,22,2
14,r,3,6,1,22,2
15,n,2,6,1,22,2
16,n,1,6,1,22,2
17,r,4,6,1,22,2
18,n,1,6,1,22,2
19,r,3,6,1,22,2
