IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
9452,post_new,NA,141,neg,22,1,20,2,758,1,0.9134753199996339
9031,post_new,NA,121,neg,22,1,20,2,759,1,0.9067013910007518
9326,post_new,NA,130,neg,22,1,20,2,760,1,0.7060767599996325
2382,t,butterfly8,51,neu,22,1,20,2,761,0,0.5214039580005192
6830,post_new,NA,117,neg,22,1,20,2,762,1,0.7138920260003943
7325,filler,scissors5,43,pos,22,1,20,2,763,1,0.5627495019998605
8496,sub,microwave1,36,pos,22,1,20,2,764,1,0.6508648609997181
9040,post_new,NA,122,neg,22,1,20,2,765,1,0.7493373769993923
4599,sub,cookingpan3,32,pos,22,1,20,2,766,0,0.5542712630012829
6821,nt,button5,22,neg2,22,1,20,2,767,0,0.5500585059999139
2156,sub,abacus9,56,pos,22,1,20,2,768,0,0.6917455310012883
4628,post_new,NA,87,pos,22,1,20,2,769,1,0.6158956750005018
1111,post_new,NA,90,neg,22,1,20,2,770,1,0.7267790290006815
9001,post_new,NA,120,neg,22,1,20,2,771,1,0.7987444059999689
2389,post_new,NA,81,pos,22,1,20,2,772,1,0.6133174409987987
2791,sub,glove6,31,pos,22,1,20,2,773,0,0.6197939390003739
9421,post_new,NA,135,neg,22,1,20,2,774,1,0.6504476230002183
5726,sub,dresser12,44,pos,22,1,20,2,775,0,0.4788076259992522
1750,sub,broom11,28,pos,22,1,20,2,776,0,0.6201442059991678
8492,post_new,NA,69,pos,22,1,20,2,777,1,0.5531241239987139
8205,sub,frame10,26,pos,22,1,20,2,778,1,0.9207150189995446
9160,post_new,NA,124,neg,22,1,20,2,779,1,0.7499505590003537
1731,post_new,NA,74,pos,22,1,20,2,780,1,0.6120836000009149
2091,t,windchime16,35,pos,22,1,20,2,781,1,0.5704815420012892
1601,t,glove6,31,pos,22,1,20,2,782,1,0.5212024660013412
6520,b,stapler5,5,neg1,22,1,20,2,783,1,0.579334996000398
6242,post_new,NA,111,neg,22,1,20,2,784,1,0.8211173680010688
8031,sub,chessboard14,46,pos,22,1,20,2,785,0,0.5283705040001223
6313,post_new,NA,113,neg,22,1,20,2,786,1,0.7501025059991662
1920,t,scale13,34,pos,22,1,20,2,787,1,0.5982509660007054
1441,sub,cushion2,19,pos,22,1,20,2,788,0,1.007810339999196
8499,sub,cheesegrater14,20,pos,22,1,20,2,789,0,0.8006098569985625
2373,t,fan2,38,pos,22,1,20,2,790,1,0.5528007709999656
6312,post_new,NA,112,neg,22,1,20,2,791,1,0.9780050209992623
2037,sub,hanger9,27,pos,22,1,20,2,792,0,0.7192293429998244
2749,t,abacus9,56,neu,22,1,20,2,793,1,0.5991389480004727
1303,filler,ringbinder8,45,neu,22,1,20,2,794,1,0.7209576300010667
8065,post_new,NA,178,neu,22,1,20,2,795,1,0.6912589880012092
2302,post_new,NA,79,pos,22,1,20,2,796,1,0.6893582489992696
2340,t,tape8,37,pos,22,1,20,2,797,1,0.5986375719985517
9908,b,bearteddy16,13,neg1,22,1,20,2,798,1,0.6208943270012242
9424,post_new,NA,137,neg,22,1,20,2,799,1,0.7490952000007383
1340,filler,balloon10,30,pos,22,1,20,2,800,1,0.619568584001172
9427,post_new,NA,138,neg,22,1,20,2,801,1,1.2558399279987498
2593,post_new,NA,167,neu,22,1,20,2,802,1,0.9923897579992627
2345.1,nt,backpack6,16,neg2,22,1,20,2,803,1,0.5807975849984359
5910,sub,lock14,42,pos,22,1,20,2,804,1,0.7495408019985916
2273,t,frisbee0,48,neu,22,1,20,2,805,1,0.758554884001569
2489,post_new,NA,162,neu,22,1,20,2,806,0,0.7326546790009161
2341,sub,gift15,50,pos,22,1,20,2,807,0,0.6128252090002206
