itemID,cond,value,subjID,gender,age,CB
0,r,3,37,1,23,2
1,n,3,37,1,23,2
2,r,2,37,1,23,2
3,n,3,37,1,23,2
4,r,3,37,1,23,2
5,r,4,37,1,23,2
6,n,1,37,1,23,2
7,n,2,37,1,23,2
8,r,3,37,1,23,2
9,n,2,37,1,23,2
10,n,4,37,1,23,2
11,r,2,37,1,23,2
12,r,2,37,1,23,2
13,n,4,37,1,23,2
14,r,3,37,1,23,2
15,n,1,37,1,23,2
16,n,3,37,1,23,2
17,r,4,37,1,23,2
18,n,4,37,1,23,2
19,r,3,37,1,23,2
