IAPS,valence,cond,cue,sub,time,order
8330,pos,sub,bonzai14,8330,0,324
1650,pos,sub,frisbee0,1650,0,325
8470,pos,pre_new,bowtie11,8470,0,326
2037,pos,sub,abacus9,2037,0,327
8492,pos,sub,lei9,8492,0,328
7580,pos,sub,gift15,7580,0,329
2341,pos,sub,seashell9,2341,0,330
4612,pos,sub,glove6,4612,0,331
4614,pos,pre_new,hanger9,4614,0,332
1750,pos,sub,microwave1,1750,0,333
2389,pos,sub,binoculars14,2389,0,334
5833,pos,sub,windchime16,5833,0,335
7440,pos,pre_new,coin15,7440,0,336
4616,pos,sub,toothpaste14,4616,0,337
5726,pos,pre_new,vase15,5726,0,338
7279,pos,sub,hourglass16,7279,0,339
7405,pos,sub,dresser12,7405,0,340
2216,pos,pre_new,tape8,2216,0,341
8496,pos,sub,dumbbell0,8496,0,342
8118,pos,pre_new,lock14,8118,0,343
1605,pos,pre_new,suitcase9,1605,0,344
1419,pos,sub,broom11,1419,0,345
2594,pos,sub,backpack6,2594,0,346
2391,pos,sub,nunchaku16,2391,0,347
2791,pos,sub,rollerskates16,2791,0,348
5621,pos,pre_new,scale13,5621,0,349
5910,pos,sub,garbagetrash14,5910,0,350
7280,pos,sub,cookpot16,7280,0,351
2035,pos,sub,pokercard14,2035,0,352
1441,pos,pre_new,camera7,1441,0,353
2156,pos,sub,compass1,2156,0,354
2030,pos,sub,microscope1,2030,0,355
2314,pos,sub,cookie1,2314,0,356
4628,pos,sub,fan2,4628,0,357
8210,pos,sub,butterfly8,8210,0,358
8499,pos,sub,calculator3,8499,0,359
1731,pos,sub,frame10,1731,0,360
5470,pos,pre_new,handbag3,5470,0,361
5199,pos,sub,bearteddy16,5199,0,362
2346,pos,sub,tent4,2346,0,363
2158,pos,sub,doorknob4,2158,0,364
8370,pos,sub,cheesegrater14,8370,0,365
1811,pos,sub,balloon10,1811,0,366
8205,pos,sub,tennisracquet7,8205,0,367
2655,pos,sub,umbrella2,2655,0,368
5199,pos,sub,bearteddy16,5199,1,379
8210,pos,sub,butterfly8,8210,1,380
5833,pos,sub,windchime16,5833,1,381
8205,pos,sub,tennisracquet7,8205,1,382
8330,pos,sub,bonzai14,8330,1,383
2341,pos,sub,seashell9,2341,1,384
2037,pos,sub,abacus9,2037,1,385
7279,pos,sub,hourglass16,7279,1,386
2158,pos,sub,doorknob4,2158,1,387
1650,pos,sub,frisbee0,1650,1,388
2346,pos,sub,tent4,2346,1,389
2594,pos,sub,backpack6,2594,1,390
2156,pos,sub,compass1,2156,1,391
2389,pos,sub,binoculars14,2389,1,392
8499,pos,sub,calculator3,8499,1,393
2035,pos,sub,pokercard14,2035,1,394
7580,pos,sub,gift15,7580,1,395
7405,pos,sub,dresser12,7405,1,396
1419,pos,sub,broom11,1419,1,397
2030,pos,sub,microscope1,2030,1,398
8370,pos,sub,cheesegrater14,8370,1,399
1750,pos,sub,microwave1,1750,1,400
4616,pos,sub,toothpaste14,4616,1,401
8492,pos,sub,lei9,8492,1,402
7280,pos,sub,cookpot16,7280,1,403
1811,pos,sub,balloon10,1811,1,404
2791,pos,sub,rollerskates16,2791,1,405
4612,pos,sub,glove6,4612,1,406
2391,pos,sub,nunchaku16,2391,1,407
5910,pos,sub,garbagetrash14,5910,1,408
2314,pos,sub,cookie1,2314,1,409
1731,pos,sub,frame10,1731,1,410
8496,pos,sub,dumbbell0,8496,1,411
2655,pos,sub,umbrella2,2655,1,412
4628,pos,sub,fan2,4628,1,413
