subjID,gender,age,phaseName,order,itemID,TNTcond,valence,cue,tar
14,1,24,encoding,0,44,filler,pos,dumbbell0,8120.0
14,1,24,encoding,1,52,filler,neu,tent4,2383.0
14,1,24,encoding,2,38,filler,pos,cookpot16,2373.0
14,1,24,encoding,3,43,filler,pos,tennisracquet7,7325.0
14,1,24,encoding,4,47,filler,neu,binoculars14,2272.0
14,1,24,encoding,5,39,t,pos,abacus9,2398.0
14,1,24,encoding,6,33,t,pos,glove6,1710.0
14,1,24,encoding,7,28,nt,neg2,gift15,9910.0
14,1,24,encoding,8,22,nt,neg2,windchime16,6821.0
14,1,24,encoding,9,15,nt,neg2,calculator3,2205.0
14,1,24,encoding,10,53,t,neu,scissors5,2390.0
14,1,24,encoding,11,24,nt,neg2,ringbinder8,9301.0
14,1,24,encoding,12,45,t,neu,hanger9,1303.0
14,1,24,encoding,13,25,nt,neg2,decorativescreen10,9321.0
14,1,24,encoding,14,23,nt,neg2,pokercard14,9163.0
14,1,24,encoding,15,14,b,neg1,suitcase9,9909.0
14,1,24,encoding,16,3,b,neg1,butterfly8,3300.0
14,1,24,encoding,17,36,t,pos,chessboard14,2154.0
14,1,24,encoding,18,16,nt,neg2,coin15,2345.1
14,1,24,encoding,19,57,t,neu,microwave1,2870.0
14,1,24,encoding,20,32,t,pos,garbagetrash14,1659.0
14,1,24,encoding,21,11,b,neg1,cushion2,9428.0
14,1,24,encoding,22,20,nt,neg2,backpack6,3195.0
14,1,24,encoding,23,35,t,pos,powerstrip12,2091.0
14,1,24,encoding,24,31,t,pos,tape8,1601.0
14,1,24,encoding,25,46,t,neu,turtle3,2102.0
14,1,24,encoding,26,0,b,neg1,clock1,2683.0
14,1,24,encoding,27,34,t,pos,compass1,1920.0
14,1,24,encoding,28,18,nt,neg2,handbag3,2490.0
14,1,24,encoding,29,41,t,pos,frisbee0,4626.0
14,1,24,encoding,30,26,nt,neg2,cheese8,9425.0
14,1,24,encoding,31,17,nt,neg2,vase15,2456.0
14,1,24,encoding,32,56,t,neu,bearteddy16,2749.0
14,1,24,encoding,33,4,b,neg1,bowtie11,6212.0
14,1,24,encoding,34,10,b,neg1,fan2,9415.0
14,1,24,encoding,35,54,t,neu,hourglass16,2396.0
14,1,24,encoding,36,7,b,neg1,bonzai14,9075.0
14,1,24,encoding,37,55,t,neu,cookingpan3,2487.0
14,1,24,encoding,38,8,b,neg1,doorknob4,9187.0
14,1,24,encoding,39,5,b,neg1,lei9,6520.0
14,1,24,encoding,40,19,nt,neg2,camera7,2590.0
14,1,24,encoding,41,2,b,neg1,dresser12,3216.0
14,1,24,encoding,42,48,t,neu,frame10,2273.0
14,1,24,encoding,43,27,nt,neg2,stapler5,9599.0
14,1,24,encoding,44,42,t,pos,key3,7230.0
14,1,24,encoding,45,59,t,neu,cookie1,7057.0
14,1,24,encoding,46,6,b,neg1,exercise_equipment5,6838.0
14,1,24,encoding,47,12,b,neg1,hairbrush9,9611.0
14,1,24,encoding,48,9,b,neg1,umbrella2,9290.0
14,1,24,encoding,49,13,b,neg1,cheesegrater14,9908.0
14,1,24,encoding,50,21,nt,neg2,seashell9,3500.0
14,1,24,encoding,51,1,b,neg1,nunchaku16,2750.0
14,1,24,encoding,52,40,t,pos,broom11,2530.0
14,1,24,encoding,53,29,nt,neg2,microscope1,9921.0
14,1,24,encoding,54,58,t,neu,balloon10,2980.0
14,1,24,encoding,55,30,filler,pos,rollerskates16,1340.0
14,1,24,encoding,56,51,filler,neu,lock14,2382.0
14,1,24,encoding,57,50,filler,neu,button5,2309.0
14,1,24,encoding,58,49,filler,neu,toothpaste14,2308.0
14,1,24,encoding,59,37,filler,pos,scale13,2340.0
