IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,cycleN,correct
2390,t,butterfly8,53,neu,8,1,23,2,60,0,0
6838,b,dresser12,6,neg1,8,1,23,2,61,0,0
2308,t,ringbinder8,49,neu,8,1,23,2,62,0,1
2272,t,calculator3,47,neu,8,1,23,2,63,0,1
6212,b,cheese8,4,neg1,8,1,23,2,64,0,1
9163,nt,decorativescreen10,23,neg2,8,1,23,2,65,0,1
2398,t,cookie1,39,pos,8,1,23,2,66,0,1
2340,t,turtle3,37,pos,8,1,23,2,67,0,1
3216,b,lock14,2,neg1,8,1,23,2,68,0,1
2980,t,cookpot16,58,neu,8,1,23,2,69,0,0
8120,t,cheesegrater14,44,pos,8,1,23,2,70,0,1
3300,b,frame10,3,neg1,8,1,23,2,71,0,1
2382,t,microscope1,51,neu,8,1,23,2,72,0,1
2530,t,handbag3,40,pos,8,1,23,2,73,0,0
7230,t,clock1,42,pos,8,1,23,2,74,0,1
2373,t,chessboard14,38,pos,8,1,23,2,75,0,1
7325,filler,button5,43,pos,8,1,23,2,76,0,1
4626,t,frisbee0,41,pos,8,1,23,2,77,0,0
6520,b,key3,5,neg1,8,1,23,2,78,0,1
2870,t,seashell9,57,neu,8,1,23,2,79,0,1
2205,nt,stapler5,15,neg2,8,1,23,2,80,0,1
3500,nt,umbrella2,21,neg2,8,1,23,2,81,0,1
2396,t,exercise_equipment5,54,neu,8,1,23,2,82,0,1
9599,nt,compass1,27,neg2,8,1,23,2,83,0,1
2383,t,cookingpan3,52,neu,8,1,23,2,84,0,0
2102,filler,fan2,46,neu,8,1,23,2,85,0,1
9301,nt,hairbrush9,24,neg2,8,1,23,2,86,0,1
1303,t,powerstrip12,45,neu,8,1,23,2,87,0,0
9290,b,garbagetrash14,9,neg1,8,1,23,2,88,0,1
2273,filler,cushion2,48,neu,8,1,23,2,89,0,1
1601,filler,bowtie11,31,pos,8,1,23,2,90,0,1
2091,t,binoculars14,35,pos,8,1,23,2,91,0,1
9921,nt,toothpaste14,29,neg2,8,1,23,2,92,0,0
2749,t,microwave1,56,neu,8,1,23,2,93,0,0
9321,nt,nunchaku16,25,neg2,8,1,23,2,94,0,1
9428,b,hanger9,11,neg1,8,1,23,2,95,0,0
2490,nt,scale13,18,neg2,8,1,23,2,96,0,1
9908,b,gift15,13,neg1,8,1,23,2,97,0,1
6821,nt,vase15,22,neg2,8,1,23,2,98,0,0
2309,filler,scissors5,50,neu,8,1,23,2,99,0,0
2345.1,nt,suitcase9,16,neg2,8,1,23,2,100,0,1
9611,b,coin15,12,neg1,8,1,23,2,101,0,1
2154,filler,pokercard14,36,pos,8,1,23,2,102,0,1
1340,filler,hourglass16,30,pos,8,1,23,2,103,0,1
9425,nt,camera7,26,neg2,8,1,23,2,104,0,1
2456,nt,abacus9,17,neg2,8,1,23,2,105,0,1
9910,nt,lei9,28,neg2,8,1,23,2,106,0,1
9187,b,tape8,8,neg1,8,1,23,2,107,0,0
9415,b,doorknob4,10,neg1,8,1,23,2,108,0,0
1920,filler,broom11,34,pos,8,1,23,2,109,0,1
2750,b,rollerskates16,1,neg1,8,1,23,2,110,0,0
2487,filler,bonzai14,55,neu,8,1,23,2,111,0,1
1710,t,tent4,33,pos,8,1,23,2,112,0,1
2683,b,backpack6,0,neg1,8,1,23,2,113,0,0
9075,b,windchime16,7,neg1,8,1,23,2,114,0,1
9909,b,glove6,14,neg1,8,1,23,2,115,0,1
1659,t,balloon10,32,pos,8,1,23,2,116,0,1
3195,nt,tennisracquet7,20,neg2,8,1,23,2,117,0,1
2590,nt,dumbbell0,19,neg2,8,1,23,2,118,0,1
7057,filler,bearteddy16,59,neu,8,1,23,2,119,0,0
9921,nt,toothpaste14,29,neg2,8,1,23,2,120,1,1
7057,filler,bearteddy16,59,neu,8,1,23,2,121,1,1
9428,b,hanger9,11,neg1,8,1,23,2,122,1,1
2383,t,cookingpan3,52,neu,8,1,23,2,123,1,1
6821,nt,vase15,22,neg2,8,1,23,2,124,1,1
9415,b,doorknob4,10,neg1,8,1,23,2,125,1,1
2980,t,cookpot16,58,neu,8,1,23,2,126,1,1
2309,filler,scissors5,50,neu,8,1,23,2,127,1,1
2749,t,microwave1,56,neu,8,1,23,2,128,1,1
9187,b,tape8,8,neg1,8,1,23,2,129,1,1
2683,b,backpack6,0,neg1,8,1,23,2,130,1,1
2390,t,butterfly8,53,neu,8,1,23,2,131,1,1
2750,b,rollerskates16,1,neg1,8,1,23,2,132,1,1
1303,t,powerstrip12,45,neu,8,1,23,2,133,1,1
4626,t,frisbee0,41,pos,8,1,23,2,134,1,1
2530,t,handbag3,40,pos,8,1,23,2,135,1,1
6838,b,dresser12,6,neg1,8,1,23,2,136,1,1
