IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
1710,filler,hourglass16,33,pos,25,1,20,1,0
2308,filler,dumbbell0,49,neu,25,1,20,1,1
8120,filler,bearteddy16,44,pos,25,1,20,1,2
2390,filler,stapler5,53,neu,25,1,20,1,3
2870,filler,clock1,57,neu,25,1,20,1,4
9425,b,lei9,26,neg2,25,1,20,1,5
2750,nt,cheese8,1,neg1,25,1,20,1,6
9908,nt,chessboard14,13,neg1,25,1,20,1,7
2749,t,tent4,56,neu,25,1,20,1,8
9301,b,cookie1,24,neg2,25,1,20,1,9
3216,nt,cheesegrater14,2,neg1,25,1,20,1,10
1340,t,suitcase9,30,pos,25,1,20,1,11
9321,b,compass1,25,neg2,25,1,20,1,12
1659,t,glove6,32,pos,25,1,20,1,13
2309,t,windchime16,50,neu,25,1,20,1,14
2091,t,coin15,35,pos,25,1,20,1,15
9611,nt,seashell9,12,neg1,25,1,20,1,16
6838,nt,fan2,6,neg1,25,1,20,1,17
2102,t,backpack6,46,neu,25,1,20,1,18
9921,b,umbrella2,29,neg2,25,1,20,1,19
9415,nt,pokercard14,10,neg1,25,1,20,1,20
7325,t,dresser12,43,pos,25,1,20,1,21
2340,t,scissors5,37,pos,25,1,20,1,22
2590,b,camera7,19,neg2,25,1,20,1,23
2383,t,butterfly8,52,neu,25,1,20,1,24
3195,b,tape8,20,neg2,25,1,20,1,25
3300,nt,frisbee0,3,neg1,25,1,20,1,26
9910,b,key3,28,neg2,25,1,20,1,27
1920,t,cushion2,34,pos,25,1,20,1,28
2345.1,b,vase15,16,neg2,25,1,20,1,29
9428,nt,abacus9,11,neg1,25,1,20,1,30
6821,b,balloon10,22,neg2,25,1,20,1,31
7057,t,binoculars14,59,neu,25,1,20,1,32
4626,t,cookpot16,41,pos,25,1,20,1,33
2398,t,rollerskates16,39,pos,25,1,20,1,34
7230,t,turtle3,42,pos,25,1,20,1,35
9290,nt,toothpaste14,9,neg1,25,1,20,1,36
9909,nt,hairbrush9,14,neg1,25,1,20,1,37
2487,t,doorknob4,55,neu,25,1,20,1,38
9163,b,tennisracquet7,23,neg2,25,1,20,1,39
9599,b,ringbinder8,27,neg2,25,1,20,1,40
6212,nt,broom11,4,neg1,25,1,20,1,41
2273,t,gift15,48,neu,25,1,20,1,42
2683,nt,cookingpan3,0,neg1,25,1,20,1,43
2456,b,bowtie11,17,neg2,25,1,20,1,44
2396,t,powerstrip12,54,neu,25,1,20,1,45
9187,nt,microscope1,8,neg1,25,1,20,1,46
2205,b,handbag3,15,neg2,25,1,20,1,47
2272,t,bonzai14,47,neu,25,1,20,1,48
2382,t,frame10,51,neu,25,1,20,1,49
2490,b,hanger9,18,neg2,25,1,20,1,50
3500,b,scale13,21,neg2,25,1,20,1,51
1601,t,calculator3,31,pos,25,1,20,1,52
6520,nt,microwave1,5,neg1,25,1,20,1,53
9075,nt,garbagetrash14,7,neg1,25,1,20,1,54
1303,filler,lock14,45,neu,25,1,20,1,55
2530,filler,nunchaku16,40,pos,25,1,20,1,56
2980,filler,exercise_equipment5,58,neu,25,1,20,1,57
2373,filler,decorativescreen10,38,pos,25,1,20,1,58
2154,filler,button5,36,pos,25,1,20,1,59
