IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,cycleN,correct
3216,nt,stapler5,2,neg1,23,1,19,1,60,0,0
1303,t,tape8,45,neu,23,1,19,1,61,0,1
9910,b,cookpot16,28,neg2,23,1,19,1,62,0,1
7230,filler,camera7,42,pos,23,1,19,1,63,0,1
8120,filler,suitcase9,44,pos,23,1,19,1,64,0,1
2345.1,b,cheesegrater14,16,neg2,23,1,19,1,65,0,1
9075,nt,tennisracquet7,7,neg1,23,1,19,1,66,0,1
2340,filler,microwave1,37,pos,23,1,19,1,67,0,0
9425,b,glove6,26,neg2,23,1,19,1,68,0,1
9921,b,garbagetrash14,29,neg2,23,1,19,1,69,0,1
2382,filler,cheese8,51,neu,23,1,19,1,70,0,1
2530,t,bonzai14,40,pos,23,1,19,1,71,0,1
2272,t,dumbbell0,47,neu,23,1,19,1,72,0,0
2398,t,abacus9,39,pos,23,1,19,1,73,0,1
1659,t,hourglass16,32,pos,23,1,19,1,74,0,1
6212,nt,frame10,4,neg1,23,1,19,1,75,0,0
2091,filler,scissors5,35,pos,23,1,19,1,76,0,1
2870,t,microscope1,57,neu,23,1,19,1,77,0,1
7057,filler,cookingpan3,59,neu,23,1,19,1,78,0,1
9599,b,nunchaku16,27,neg2,23,1,19,1,79,0,0
2383,filler,ringbinder8,52,neu,23,1,19,1,80,0,1
1340,t,backpack6,30,pos,23,1,19,1,81,0,0
9428,nt,toothpaste14,11,neg1,23,1,19,1,82,0,0
2456,b,seashell9,17,neg2,23,1,19,1,83,0,1
1601,t,binoculars14,31,pos,23,1,19,1,84,0,0
2749,t,button5,56,neu,23,1,19,1,85,0,1
2980,t,lei9,58,neu,23,1,19,1,86,0,1
2309,t,fan2,50,neu,23,1,19,1,87,0,1
9290,nt,hanger9,9,neg1,23,1,19,1,88,0,0
9187,nt,key3,8,neg1,23,1,19,1,89,0,0
2154,t,clock1,36,pos,23,1,19,1,90,0,1
7325,t,balloon10,43,pos,23,1,19,1,91,0,1
2750,nt,dresser12,1,neg1,23,1,19,1,92,0,0
2396,t,umbrella2,54,neu,23,1,19,1,93,0,1
3300,nt,butterfly8,3,neg1,23,1,19,1,94,0,1
2373,t,powerstrip12,38,pos,23,1,19,1,95,0,1
2205,b,doorknob4,15,neg2,23,1,19,1,96,0,0
6821,b,scale13,22,neg2,23,1,19,1,97,0,1
9611,nt,compass1,12,neg1,23,1,19,1,98,0,1
1710,filler,hairbrush9,33,pos,23,1,19,1,99,0,1
2683,nt,frisbee0,0,neg1,23,1,19,1,100,0,1
3500,b,pokercard14,21,neg2,23,1,19,1,101,0,0
9163,b,handbag3,23,neg2,23,1,19,1,102,0,0
6520,nt,cookie1,5,neg1,23,1,19,1,103,0,1
9909,nt,rollerskates16,14,neg1,23,1,19,1,104,0,0
9415,nt,coin15,10,neg1,23,1,19,1,105,0,1
2273,t,exercise_equipment5,48,neu,23,1,19,1,106,0,0
9908,nt,chessboard14,13,neg1,23,1,19,1,107,0,1
6838,nt,turtle3,6,neg1,23,1,19,1,108,0,1
4626,t,cushion2,41,pos,23,1,19,1,109,0,1
2308,t,lock14,49,neu,23,1,19,1,110,0,0
1920,t,windchime16,34,pos,23,1,19,1,111,0,1
9301,b,broom11,24,neg2,23,1,19,1,112,0,1
2390,filler,gift15,53,neu,23,1,19,1,113,0,1
9321,b,decorativescreen10,25,neg2,23,1,19,1,114,0,0
2102,filler,bowtie11,46,neu,23,1,19,1,115,0,1
2490,b,bearteddy16,18,neg2,23,1,19,1,116,0,0
2487,t,tent4,55,neu,23,1,19,1,117,0,1
3195,b,calculator3,20,neg2,23,1,19,1,118,0,1
2590,b,vase15,19,neg2,23,1,19,1,119,0,0
1601,t,binoculars14,31,pos,23,1,19,1,120,1,0
9428,nt,toothpaste14,11,neg1,23,1,19,1,121,1,1
9187,nt,key3,8,neg1,23,1,19,1,122,1,1
9599,b,nunchaku16,27,neg2,23,1,19,1,123,1,0
2340,filler,microwave1,37,pos,23,1,19,1,124,1,0
9163,b,handbag3,23,neg2,23,1,19,1,125,1,1
9321,b,decorativescreen10,25,neg2,23,1,19,1,126,1,1
2590,b,vase15,19,neg2,23,1,19,1,127,1,1
9909,nt,rollerskates16,14,neg1,23,1,19,1,128,1,1
2273,t,exercise_equipment5,48,neu,23,1,19,1,129,1,1
1340,t,backpack6,30,pos,23,1,19,1,130,1,1
2308,t,lock14,49,neu,23,1,19,1,131,1,1
2272,t,dumbbell0,47,neu,23,1,19,1,132,1,1
6212,nt,frame10,4,neg1,23,1,19,1,133,1,1
3500,b,pokercard14,21,neg2,23,1,19,1,134,1,1
3216,nt,stapler5,2,neg1,23,1,19,1,135,1,1
2205,b,doorknob4,15,neg2,23,1,19,1,136,1,1
9290,nt,hanger9,9,neg1,23,1,19,1,137,1,1
2490,b,bearteddy16,18,neg2,23,1,19,1,138,1,1
2750,nt,dresser12,1,neg1,23,1,19,1,139,1,1
1601,t,binoculars14,31,pos,23,1,19,1,140,2,1
2340,filler,microwave1,37,pos,23,1,19,1,141,2,1
9599,b,nunchaku16,27,neg2,23,1,19,1,142,2,1
