IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,val,aro,correct
2530,filler,vase15,40,pos,7,1,22,2,259,5,2,0
2980,filler,binoculars14,58,neu,7,1,22,2,260,5,2,1
2396,filler,cookingpan3,54,neu,7,1,22,2,261,,,0
1710,filler,dresser12,33,pos,7,1,22,2,262,9,3,1
1659,filler,microwave1,32,pos,7,1,22,2,263,6,3,1
6212,b,calculator3,4,neg1,7,1,22,2,264,4,3,1
2590,nt,hanger9,19,neg2,7,1,22,2,265,,,0
2205,nt,cookie1,15,neg2,7,1,22,2,266,4,3,1
3195,nt,pokercard14,20,neg2,7,1,22,2,267,,,0
2340,t,camera7,37,pos,7,1,22,2,268,7,3,1
9075,b,clock1,7,neg1,7,1,22,2,269,6,3,0
6520,b,powerstrip12,5,neg1,7,1,22,2,270,,,0
9611,b,cheese8,12,neg1,7,1,22,2,271,,,0
2308,t,tennisracquet7,49,neu,7,1,22,2,272,6,3,1
7057,t,scale13,59,neu,7,1,22,2,273,7,3,1
4626,t,lei9,41,pos,7,1,22,2,274,8,3,1
9187,b,cushion2,8,neg1,7,1,22,2,275,6,3,1
2102,t,rollerskates16,46,neu,7,1,22,2,276,,,0
3500,nt,decorativescreen10,21,neg2,7,1,22,2,277,,,0
2390,t,doorknob4,53,neu,7,1,22,2,278,5,3,1
9599,nt,hourglass16,27,neg2,7,1,22,2,279,5,3,0
1920,t,bonzai14,34,pos,7,1,22,2,280,,,0
9428,b,ringbinder8,11,neg1,7,1,22,2,281,3,3,1
9909,b,fan2,14,neg1,7,1,22,2,282,4,3,1
2154,t,bowtie11,36,pos,7,1,22,2,283,5,3,0
8120,t,exercise_equipment5,44,pos,7,1,22,2,284,6,3,1
9290,b,garbagetrash14,9,neg1,7,1,22,2,285,3,3,1
6821,nt,toothpaste14,22,neg2,7,1,22,2,286,,,0
2870,t,dumbbell0,57,neu,7,1,22,2,287,,,0
9163,nt,seashell9,23,neg2,7,1,22,2,288,,,0
2345.1,nt,glove6,16,neg2,7,1,22,2,289,,,0
2373,t,abacus9,38,pos,7,1,22,2,290,7,4,1
2750,b,cookpot16,1,neg1,7,1,22,2,291,5,3,1
3216,b,windchime16,2,neg1,7,1,22,2,292,,,0
3300,b,compass1,3,neg1,7,1,22,2,293,4,3,1
2273,t,butterfly8,48,neu,7,1,22,2,294,7,3,1
9908,b,cheesegrater14,13,neg1,7,1,22,2,295,4,3,1
2383,t,lock14,52,neu,7,1,22,2,296,5,3,1
2683,b,gift15,0,neg1,7,1,22,2,297,2,3,1
1303,t,nunchaku16,45,neu,7,1,22,2,298,5,3,0
2091,t,turtle3,35,pos,7,1,22,2,299,9,3,1
9321,nt,suitcase9,25,neg2,7,1,22,2,300,3,3,1
6838,b,handbag3,6,neg1,7,1,22,2,301,,,0
9921,nt,button5,29,neg2,7,1,22,2,302,,,0
9415,b,key3,10,neg1,7,1,22,2,303,4,3,1
1340,t,hairbrush9,30,pos,7,1,22,2,304,6,3,1
2398,t,broom11,39,pos,7,1,22,2,305,,,0
9301,nt,frisbee0,24,neg2,7,1,22,2,306,,,0
2749,t,tent4,56,neu,7,1,22,2,307,5,3,1
9425,nt,microscope1,26,neg2,7,1,22,2,308,,,0
7325,t,scissors5,43,pos,7,1,22,2,309,7,3,1
2309,t,chessboard14,50,neu,7,1,22,2,310,6,3,1
9910,nt,stapler5,28,neg2,7,1,22,2,311,,,0
2490,nt,coin15,18,neg2,7,1,22,2,312,5,3,1
2456,nt,backpack6,17,neg2,7,1,22,2,313,5,3,1
2487,filler,bearteddy16,55,neu,7,1,22,2,314,6,3,1
2382,filler,frame10,51,neu,7,1,22,2,315,6,3,1
1601,filler,balloon10,31,pos,7,1,22,2,316,7,3,1
7230,filler,tape8,42,pos,7,1,22,2,317,7,3,1
2272,filler,umbrella2,47,neu,7,1,22,2,318,,,0
