IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,cycleN,correct
2273,t,frisbee0,48,neu,22,1,20,2,60,0,1
9187,b,nunchaku16,8,neg1,22,1,20,2,61,0,1
2590,nt,cushion2,19,neg2,22,1,20,2,62,0,1
9428,b,decorativescreen10,11,neg1,22,1,20,2,63,0,0
9415,b,turtle3,10,neg1,22,1,20,2,64,0,1
2390,t,pokercard14,53,neu,22,1,20,2,65,0,0
1710,filler,compass1,33,pos,22,1,20,2,66,0,0
1340,filler,balloon10,30,pos,22,1,20,2,67,0,1
9910,nt,broom11,28,neg2,22,1,20,2,68,0,0
9599,nt,hanger9,27,neg2,22,1,20,2,69,0,0
2308,filler,toothpaste14,49,neu,22,1,20,2,70,0,1
2205,nt,hairbrush9,15,neg2,22,1,20,2,71,0,1
9321,nt,doorknob4,25,neg2,22,1,20,2,72,0,1
2749,t,abacus9,56,neu,22,1,20,2,73,0,1
9921,nt,tent4,29,neg2,22,1,20,2,74,0,1
9425,nt,frame10,26,neg2,22,1,20,2,75,0,0
2396,t,lei9,54,neu,22,1,20,2,76,0,1
2456,nt,clock1,17,neg2,22,1,20,2,77,0,1
6821,nt,button5,22,neg2,22,1,20,2,78,0,1
6520,b,stapler5,5,neg1,22,1,20,2,79,0,1
6212,b,bowtie11,4,neg1,22,1,20,2,80,0,1
1920,t,scale13,34,pos,22,1,20,2,81,0,1
2309,t,gift15,50,neu,22,1,20,2,82,0,1
2398,filler,bonzai14,39,pos,22,1,20,2,83,0,1
9908,b,bearteddy16,13,neg1,22,1,20,2,84,0,1
2683,b,garbagetrash14,0,neg1,22,1,20,2,85,0,0
2091,t,windchime16,35,pos,22,1,20,2,86,0,0
1659,t,cookingpan3,32,pos,22,1,20,2,87,0,1
3195,nt,cheesegrater14,20,neg2,22,1,20,2,88,0,1
9301,nt,rollerskates16,24,neg2,22,1,20,2,89,0,0
3500,nt,camera7,21,neg2,22,1,20,2,90,0,0
4626,filler,handbag3,41,pos,22,1,20,2,91,0,0
2272,t,cookie1,47,neu,22,1,20,2,92,0,1
7230,t,lock14,42,pos,22,1,20,2,93,0,0
9909,b,seashell9,14,neg1,22,1,20,2,94,0,1
9163,nt,calculator3,23,neg2,22,1,20,2,95,0,1
9611,b,dumbbell0,12,neg1,22,1,20,2,96,0,0
3300,b,cheese8,3,neg1,22,1,20,2,97,0,0
6838,b,microscope1,6,neg1,22,1,20,2,98,0,1
2340,t,tape8,37,pos,22,1,20,2,99,0,1
2530,t,suitcase9,40,pos,22,1,20,2,100,0,1
2102,t,chessboard14,46,neu,22,1,20,2,101,0,1
9075,b,vase15,7,neg1,22,1,20,2,102,0,1
1601,t,glove6,31,pos,22,1,20,2,103,0,1
2373,t,fan2,38,pos,22,1,20,2,104,0,1
2154,t,microwave1,36,pos,22,1,20,2,105,0,0
2870,filler,powerstrip12,57,neu,22,1,20,2,106,0,0
7057,t,tennisracquet7,59,neu,22,1,20,2,107,0,1
2980,filler,binoculars14,58,neu,22,1,20,2,108,0,1
2382,t,butterfly8,51,neu,22,1,20,2,109,0,1
2487,t,hourglass16,55,neu,22,1,20,2,110,0,0
9290,b,coin15,9,neg1,22,1,20,2,111,0,1
2750,b,key3,1,neg1,22,1,20,2,112,0,1
2490,nt,exercise_equipment5,18,neg2,22,1,20,2,113,0,1
2383,filler,cookpot16,52,neu,22,1,20,2,114,0,1
7325,filler,scissors5,43,pos,22,1,20,2,115,0,0
1303,filler,ringbinder8,45,neu,22,1,20,2,116,0,1
3216,b,umbrella2,2,neg1,22,1,20,2,117,0,1
2345.1,nt,backpack6,16,neg2,22,1,20,2,118,0,1
8120,t,dresser12,44,pos,22,1,20,2,119,0,1
9301,nt,rollerskates16,24,neg2,22,1,20,2,120,1,1
7230,t,lock14,42,pos,22,1,20,2,121,1,1
4626,filler,handbag3,41,pos,22,1,20,2,122,1,1
9428,b,decorativescreen10,11,neg1,22,1,20,2,123,1,1
2091,t,windchime16,35,pos,22,1,20,2,124,1,1
2390,t,pokercard14,53,neu,22,1,20,2,125,1,1
9425,nt,frame10,26,neg2,22,1,20,2,126,1,1
7325,filler,scissors5,43,pos,22,1,20,2,127,1,1
2870,filler,powerstrip12,57,neu,22,1,20,2,128,1,1
2487,t,hourglass16,55,neu,22,1,20,2,129,1,1
1710,filler,compass1,33,pos,22,1,20,2,130,1,1
9611,b,dumbbell0,12,neg1,22,1,20,2,131,1,1
9599,nt,hanger9,27,neg2,22,1,20,2,132,1,1
2154,t,microwave1,36,pos,22,1,20,2,133,1,1
2683,b,garbagetrash14,0,neg1,22,1,20,2,134,1,1
3300,b,cheese8,3,neg1,22,1,20,2,135,1,1
9910,nt,broom11,28,neg2,22,1,20,2,136,1,1
3500,nt,camera7,21,neg2,22,1,20,2,137,1,1
