IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
8161,sub,button5,54,pos,33,1,23,1,770,1,1.1613472349999938
7620,post_new,NA,177,neu,33,1,23,1,771,1,0.699020150997967
5470,post_new,NA,76,pos,33,1,23,1,772,1,0.6496520180007792
1303,filler,cheesegrater14,45,neu,33,1,23,1,773,1,0.6508982699997432
2030,sub,hanger9,47,pos,33,1,23,1,774,1,0.678508947003138
2299,post_new,NA,69,pos,33,1,23,1,775,1,0.6200418929984153
2341,sub,scissors5,11,pos,33,1,23,1,776,1,0.6624069959980261
9415,nt,garbagetrash14,10,neg1,33,1,23,1,777,1,0.7015257029997883
7280,post_new,NA,79,pos,33,1,23,1,778,1,0.9691252449993044
2703,post_new,NA,101,neg,33,1,23,1,779,1,0.6614438020005764
9428,nt,scissors5,11,neg1,33,1,23,1,780,1,0.6406081370005268
2691,post_new,NA,99,neg,33,1,23,1,781,1,0.5987344550012494
2383,filler,lei9,52,neu,33,1,23,1,782,1,0.6117140440001094
1650,post_new,NA,65,pos,33,1,23,1,783,1,0.5607637749999412
2345.1,b,cushion2,16,neg2,33,1,23,1,784,1,0.5731237249965488
2308,t,nunchaku16,49,neu,33,1,23,1,785,1,0.6832758970012947
8232,post_new,NA,179,neu,33,1,23,1,786,1,0.8620831319967692
5199,sub,decorativescreen10,40,pos,33,1,23,1,787,1,0.6474268470010429
2398,filler,coin15,39,pos,33,1,23,1,788,1,0.7773773179978889
7279,post_new,NA,89,pos,33,1,23,1,789,1,0.5899184149966459
9075,nt,hourglass16,7,neg1,33,1,23,1,790,1,0.6028766580020601
7359,post_new,NA,119,neg,33,1,23,1,791,1,0.7274614359994303
7230,t,cheese8,42,pos,33,1,23,1,792,1,0.6487863969996397
9599,b,powerstrip12,27,neg2,33,1,23,1,793,1,0.6399191440032155
7405,sub,nunchaku16,49,pos,33,1,23,1,794,1,0.6744757350024884
9290,nt,butterfly8,9,neg1,33,1,23,1,795,1,0.749601616000291
9421,post_new,NA,135,neg,33,1,23,1,796,1,0.6505271429996355
2518,post_new,NA,163,neu,33,1,23,1,797,1,0.8019111860012345
9427,post_new,NA,138,neg,33,1,23,1,798,1,0.6720313190016896
2411,post_new,NA,160,neu,33,1,23,1,799,1,0.5521666860004188
2339,sub,garbagetrash14,10,pos,33,1,23,1,800,1,0.5886601979982515
2598,sub,turtle3,0,pos,33,1,23,1,801,0,0.6513925840008596
9050,post_new,NA,123,neg,33,1,23,1,802,1,0.8766420140018454
2102,t,hairbrush9,46,neu,33,1,23,1,803,1,0.6011086510006862
9163,b,fan2,23,neg2,33,1,23,1,804,1,0.5916189279996615
9332,post_new,NA,131,neg,33,1,23,1,805,1,0.6412069640027767
6838,nt,glove6,6,neg1,33,1,23,1,806,1,0.599827006997657
1419,sub,dresser12,57,pos,33,1,23,1,807,0,0.5771741700009443
2272,t,hanger9,47,neu,33,1,23,1,808,1,0.598234806999244
2390,t,bearteddy16,53,neu,33,1,23,1,809,0,0.8401824830034457
9183,post_new,NA,125,neg,33,1,23,1,810,1,0.719182805998571
2273,filler,ringbinder8,48,neu,33,1,23,1,811,1,0.5767032129988365
9160,post_new,NA,124,neg,33,1,23,1,812,1,0.7201758789997257
3180,post_new,NA,105,neg,33,1,23,1,813,1,0.6215036409994354
1271,post_new,NA,91,neg,33,1,23,1,814,1,0.6228683740009728
9921,b,vase15,29,neg2,33,1,23,1,815,1,0.7776621090015396
2340,t,tape8,37,pos,33,1,23,1,816,1,0.6485292559991649
6520,nt,rollerskates16,5,neg1,33,1,23,1,817,1,0.6019233939987316
1645,post_new,NA,150,neu,33,1,23,1,818,1,0.5556129180004064
2487,t,cookie1,55,neu,33,1,23,1,819,1,0.6006060340005206
2730,post_new,NA,102,neg,33,1,23,1,820,1,1.0764861239986203
2749,t,balloon10,56,neu,33,1,23,1,821,1,0.7493712640025478
2331,sub,lock14,43,pos,33,1,23,1,822,0,0.6515476919994398
8492,sub,balloon10,56,pos,33,1,23,1,823,1,0.665511441999115
9425,b,frisbee0,26,neg2,33,1,23,1,824,1,0.7397944609983824
3300,nt,bonzai14,3,neg1,33,1,23,1,825,1,0.650111585000559
2870,t,dresser12,57,neu,33,1,23,1,826,1,0.598779526000726
2154,t,windchime16,36,pos,33,1,23,1,827,1,0.8020415040009539
8120,filler,gift15,44,pos,33,1,23,1,828,1,0.763079452997772
2593,post_new,NA,167,neu,33,1,23,1,829,1,0.6595720639998035
5726,sub,rollerskates16,5,pos,33,1,23,1,830,0,0.9288167550002981
9001,post_new,NA,120,neg,33,1,23,1,831,1,0.6482753780001076
2655,sub,bowtie11,4,pos,33,1,23,1,832,0,0.6496318850004172
1111,post_new,NA,90,neg,33,1,23,1,833,1,0.9179905719975068
1811,sub,cheese8,42,pos,33,1,23,1,834,1,1.0786753239990503
2158,sub,umbrella2,35,pos,33,1,23,1,835,1,0.8215488009991532
2302,sub,windchime16,36,pos,33,1,23,1,836,1,0.6554070979982498
1340,filler,handbag3,30,pos,33,1,23,1,837,1,0.6271567840012722
9031,post_new,NA,121,neg,33,1,23,1,838,1,0.6240534530006698
4616,sub,scale13,13,pos,33,1,23,1,839,1,0.7884686010002042
2278,post_new,NA,98,neg,33,1,23,1,840,1,0.6753510830021696
2373,t,pokercard14,38,pos,33,1,23,1,841,1,0.5808093099985854
2091,t,umbrella2,35,pos,33,1,23,1,842,1,0.6131347839982482
3500,b,microscope1,21,neg2,33,1,23,1,843,1,0.7118435860029422
2800,post_new,NA,103,neg,33,1,23,1,844,1,0.6784289509996597
2377,post_new,NA,157,neu,33,1,23,1,845,1,0.7380902270015213
9187,nt,clock1,8,neg1,33,1,23,1,846,1,0.6721481940003287
1605,sub,chessboard14,50,pos,33,1,23,1,847,0,0.8236436379993393
2032,post_new,NA,152,neu,33,1,23,1,848,1,1.0256756329981727
6312,post_new,NA,112,neg,33,1,23,1,849,1,0.7998975759983296
2370,sub,bonzai14,3,pos,33,1,23,1,850,1,0.7013285240027471
9301,b,compass1,24,neg2,33,1,23,1,851,1,0.600404423999862
2208,sub,backpack6,14,pos,33,1,23,1,852,1,0.7626493580028182
9611,nt,binoculars14,12,neg1,33,1,23,1,853,1,0.6128559899989341
9902,post_new,NA,146,neg,33,1,23,1,854,1,0.66116331000012
2037,sub,bearteddy16,53,pos,33,1,23,1,855,1,0.6855140080006095
8210,sub,cookingpan3,51,pos,33,1,23,1,856,1,0.6701961670005403
