IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
1710,filler,toothpaste14,33,pos,42,1,20,2,0
2530,filler,powerstrip12,40,pos,42,1,20,2,1
1920,filler,camera7,34,pos,42,1,20,2,2
7057,filler,lei9,59,neu,42,1,20,2,3
7325,filler,balloon10,43,pos,42,1,20,2,4
6838,b,hairbrush9,6,neg1,42,1,20,2,5
6212,b,cheesegrater14,4,neg1,42,1,20,2,6
2390,t,cookpot16,53,neu,42,1,20,2,7
6520,b,tent4,5,neg1,42,1,20,2,8
9321,nt,turtle3,25,neg2,42,1,20,2,9
2273,t,seashell9,48,neu,42,1,20,2,10
9075,b,scissors5,7,neg1,42,1,20,2,11
7230,t,cushion2,42,pos,42,1,20,2,12
2272,t,doorknob4,47,neu,42,1,20,2,13
3195,nt,pokercard14,20,neg2,42,1,20,2,14
1303,t,lock14,45,neu,42,1,20,2,15
2382,t,cookie1,51,neu,42,1,20,2,16
2398,t,frisbee0,39,pos,42,1,20,2,17
9611,b,gift15,12,neg1,42,1,20,2,18
1601,t,coin15,31,pos,42,1,20,2,19
2590,nt,binoculars14,19,neg2,42,1,20,2,20
2683,b,abacus9,0,neg1,42,1,20,2,21
4626,t,backpack6,41,pos,42,1,20,2,22
2345.1,nt,butterfly8,16,neg2,42,1,20,2,23
8120,t,scale13,44,pos,42,1,20,2,24
2487,t,nunchaku16,55,neu,42,1,20,2,25
2750,b,bonzai14,1,neg1,42,1,20,2,26
9908,b,bearteddy16,13,neg1,42,1,20,2,27
2456,nt,bowtie11,17,neg2,42,1,20,2,28
9425,nt,clock1,26,neg2,42,1,20,2,29
2980,t,suitcase9,58,neu,42,1,20,2,30
1340,t,exercise_equipment5,30,pos,42,1,20,2,31
1659,t,dresser12,32,pos,42,1,20,2,32
9428,b,stapler5,11,neg1,42,1,20,2,33
2309,t,decorativescreen10,50,neu,42,1,20,2,34
3216,b,hourglass16,2,neg1,42,1,20,2,35
3300,b,ringbinder8,3,neg1,42,1,20,2,36
2490,nt,microscope1,18,neg2,42,1,20,2,37
2373,t,key3,38,pos,42,1,20,2,38
9163,nt,vase15,23,neg2,42,1,20,2,39
9415,b,rollerskates16,10,neg1,42,1,20,2,40
9187,b,cheese8,8,neg1,42,1,20,2,41
2396,t,broom11,54,neu,42,1,20,2,42
9921,nt,garbagetrash14,29,neg2,42,1,20,2,43
2091,t,glove6,35,pos,42,1,20,2,44
2870,t,frame10,57,neu,42,1,20,2,45
2340,t,microwave1,37,pos,42,1,20,2,46
9290,b,umbrella2,9,neg1,42,1,20,2,47
6821,nt,handbag3,22,neg2,42,1,20,2,48
9599,nt,fan2,27,neg2,42,1,20,2,49
9301,nt,dumbbell0,24,neg2,42,1,20,2,50
2205,nt,compass1,15,neg2,42,1,20,2,51
9910,nt,button5,28,neg2,42,1,20,2,52
9909,b,tape8,14,neg1,42,1,20,2,53
3500,nt,cookingpan3,21,neg2,42,1,20,2,54
2383,filler,windchime16,52,neu,42,1,20,2,55
2749,filler,chessboard14,56,neu,42,1,20,2,56
2308,filler,calculator3,49,neu,42,1,20,2,57
2102,filler,hanger9,46,neu,42,1,20,2,58
2154,filler,tennisracquet7,36,pos,42,1,20,2,59
