cond,itemID,value,subjID,gender,age,quesName
d,0,1,11,0,24,rrs
d,1,1,11,0,24,rrs
d,2,2,11,0,24,rrs
d,3,1,11,0,24,rrs
b,4,2,11,0,24,rrs
d,5,1,11,0,24,rrs
r,6,2,11,0,24,rrs
d,7,1,11,0,24,rrs
d,8,2,11,0,24,rrs
b,9,2,11,0,24,rrs
r,10,1,11,0,24,rrs
r,11,1,11,0,24,rrs
b,12,3,11,0,24,rrs
d,13,3,11,0,24,rrs
b,14,2,11,0,24,rrs
b,15,1,11,0,24,rrs
d,16,1,11,0,24,rrs
d,17,2,11,0,24,rrs
d,18,1,11,0,24,rrs
r,19,1,11,0,24,rrs
r,20,1,11,0,24,rrs
d,21,1,11,0,24,rrs
