IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
2521,post_new,NA,164,neu,31,0,22,1,764,1,0.6072807350001312
7242,post_new,NA,174,neu,31,0,22,1,765,1,0.5513242309998532
6821,b,ringbinder8,22,neg2,31,0,22,1,766,1,0.5504353300002549
2037,sub,abacus9,14,pos,31,0,22,1,767,1,0.6881149440005174
2980,t,doorknob4,58,neu,31,0,22,1,768,1,0.6485319760004131
6313,post_new,NA,113,neg,31,0,22,1,769,1,0.6225597299999208
3350,post_new,NA,109,neg,31,0,22,1,770,1,0.6219382530007351
2340,filler,tape8,37,pos,31,0,22,1,771,1,0.6486794200000077
2035,sub,pokercard14,10,pos,31,0,22,1,772,1,0.6278802319993702
2396,t,frame10,54,neu,31,0,22,1,773,1,0.6134727100006785
1731,sub,frame10,54,pos,31,0,22,1,774,0,0.8768481090000932
6550,post_new,NA,115,neg,31,0,22,1,775,1,0.7190007649996915
4626,t,calculator3,41,pos,31,0,22,1,776,1,0.5999095540000781
6571,post_new,NA,116,neg,31,0,22,1,777,1,0.9547004109999762
5910,sub,garbagetrash14,5,pos,31,0,22,1,778,0,0.5514557039996362
4628,sub,fan2,32,pos,31,0,22,1,779,1,1.0034893239999292
2388,post_new,NA,68,pos,31,0,22,1,780,1,0.6681312430000617
1650,sub,frisbee0,53,pos,31,0,22,1,781,1,0.6757272229997398
2091,t,dresser12,35,pos,31,0,22,1,782,1,0.6206649010000547
6212,nt,balloon10,4,neg1,31,0,22,1,783,1,0.6485368949997792
3185,post_new,NA,106,neg,31,0,22,1,784,1,0.724014661000183
2389,sub,binoculars14,0,pos,31,0,22,1,785,1,0.8703571430005468
9321,b,powerstrip12,25,neg2,31,0,22,1,786,1,0.5885667669999748
9183,post_new,NA,125,neg,31,0,22,1,787,1,0.6730709759995079
2518,post_new,NA,163,neu,31,0,22,1,788,1,0.6064460340003279
7325,t,toothpaste14,43,pos,31,0,22,1,789,1,0.549489216999973
2730,post_new,NA,102,neg,31,0,22,1,790,1,0.7055474979997598
2655,sub,umbrella2,9,pos,31,0,22,1,791,1,1.012682649999988
9635.1,post_new,NA,144,neg,31,0,22,1,792,1,0.7612927110003511
9909,nt,abacus9,14,neg1,31,0,22,1,793,1,0.6061449660001017
2102,filler,scale13,46,neu,31,0,22,1,794,1,0.6508844410000165
9902,post_new,NA,146,neg,31,0,22,1,795,1,0.9212070309995397
9419,post_new,NA,134,neg,31,0,22,1,796,1,0.6171818680004435
9921,b,clock1,29,neg2,31,0,22,1,797,0,0.599215228000503
2435,post_new,NA,161,neu,31,0,22,1,798,1,0.9180781220002245
2590,b,cheese8,19,neg2,31,0,22,1,799,1,0.6120680960002574
1710,t,backpack6,33,pos,31,0,22,1,800,1,0.5272876129993165
2700,post_new,NA,100,neg,31,0,22,1,801,1,0.8492804699999397
9429,post_new,NA,139,neg,31,0,22,1,802,1,0.7561662560001423
1601,t,microscope1,31,pos,31,0,22,1,803,0,0.7504917910000586
2341,sub,seashell9,36,pos,31,0,22,1,804,1,1.200172670000029
9300,post_new,NA,128,neg,31,0,22,1,805,1,1.0118382609998662
9290,nt,umbrella2,9,neg1,31,0,22,1,806,1,1.0694719149996672
8161,post_new,NA,62,pos,31,0,22,1,807,1,0.6440529669998796
8162,post_new,NA,60,pos,31,0,22,1,808,1,0.6231958259995736
1811,sub,balloon10,4,pos,31,0,22,1,809,0,0.701064855000368
2030,sub,microscope1,31,pos,31,0,22,1,810,1,1.719993974999852
8330,sub,bonzai14,1,pos,31,0,22,1,811,1,0.8204716809996171
2749,filler,handbag3,56,neu,31,0,22,1,812,1,0.6119423569998617
2370,post_new,NA,73,pos,31,0,22,1,813,1,0.7077327970000624
2273,filler,bowtie11,48,neu,31,0,22,1,814,1,0.6583766940002533
2158,sub,doorknob4,58,pos,31,0,22,1,815,1,1.0707370890004313
9611,nt,microwave1,12,neg1,31,0,22,1,816,1,0.67030613299994
9903,post_new,NA,147,neg,31,0,22,1,817,1,1.071665063999717
5833,sub,windchime16,47,pos,31,0,22,1,818,1,0.7487129420005658
5199,sub,bearteddy16,7,pos,31,0,22,1,819,1,0.9789086970004064
8030,post_new,NA,74,pos,31,0,22,1,820,1,0.8547577780000211
2339,post_new,NA,82,pos,31,0,22,1,821,1,0.6807661969996843
6520,nt,garbagetrash14,5,neg1,31,0,22,1,822,1,0.614318990999891
2530,t,cookpot16,40,pos,31,0,22,1,823,1,0.6615930750003827
2141,post_new,NA,97,neg,31,0,22,1,824,1,0.6875699800002621
2308,t,rollerskates16,49,neu,31,0,22,1,825,1,0.6240773069994248
2560,post_new,NA,80,pos,31,0,22,1,826,1,0.8344946839997647
9425,b,exercise_equipment5,26,neg2,31,0,22,1,827,1,0.6396733980000135
2302,post_new,NA,87,pos,31,0,22,1,828,1,0.6268628020006872
9040,post_new,NA,122,neg,31,0,22,1,829,1,0.7385424829999465
2691,post_new,NA,99,neg,31,0,22,1,830,1,0.769616982000116
8496,sub,dumbbell0,45,pos,31,0,22,1,831,1,0.7009588649998477
2579,post_new,NA,165,neu,31,0,22,1,832,1,0.6484839780005132
9599,b,turtle3,27,neg2,31,0,22,1,833,1,0.6401401140001326
2800,post_new,NA,103,neg,31,0,22,1,834,1,0.662085400000251
9301,b,hairbrush9,24,neg2,31,0,22,1,835,1,0.8269859990004989
1340,filler,lock14,30,pos,31,0,22,1,836,1,0.7491426709993902
2346,sub,tent4,51,pos,31,0,22,1,837,1,0.7504037939997943
2487,filler,vase15,55,neu,31,0,22,1,838,1,0.6287932770001134
2683,nt,binoculars14,0,neg1,31,0,22,1,839,1,0.6478298290003295
2373,filler,hanger9,38,pos,31,0,22,1,840,1,0.6005307320001521
2393,post_new,NA,158,neu,31,0,22,1,841,1,0.7700494720002098
4000,post_new,NA,170,neu,31,0,22,1,842,1,0.697527041000285
1659,t,fan2,32,pos,31,0,22,1,843,1,0.8717042369999035
2391,sub,nunchaku16,50,pos,31,0,22,1,844,1,0.5702300619996095
7359,post_new,NA,119,neg,31,0,22,1,845,1,0.7032187039994824
2154,t,seashell9,36,pos,31,0,22,1,846,1,0.8805783970001357
2398,filler,camera7,39,pos,31,0,22,1,847,1,0.6195555159993091
2791,sub,rollerskates16,49,pos,31,0,22,1,848,1,0.670193291999567
7495,post_new,NA,175,neu,31,0,22,1,849,1,0.6253457350003373
2299,post_new,NA,66,pos,31,0,22,1,850,1,0.7049096440005087
6838,nt,butterfly8,6,neg1,31,0,22,1,851,1,0.7118725129994345
2383,t,lei9,52,neu,31,0,22,1,852,1,0.7772582629995668
7280,sub,cookpot16,40,pos,31,0,22,1,853,1,0.9994752379998317
1920,t,gift15,34,pos,31,0,22,1,854,1,0.5986539629993786
3500,b,button5,21,neg2,31,0,22,1,855,1,0.5620771799995055
1419,sub,broom11,11,pos,31,0,22,1,856,1,0.7123453409994909
9452,post_new,NA,141,neg,31,0,22,1,857,1,0.7008598169995821
3300,nt,cheesegrater14,3,neg1,31,0,22,1,858,1,0.7629724070002339
1303,t,dumbbell0,45,neu,31,0,22,1,859,1,0.7013662429999385
9927,post_new,NA,149,neg,31,0,22,1,860,1,0.6514510190008878
4605,post_new,NA,171,neu,31,0,22,1,861,1,0.8008453829997961
2456,b,scissors5,17,neg2,31,0,22,1,862,1,0.6017292879996603
8210,sub,butterfly8,6,pos,31,0,22,1,863,1,0.6518335900000238
9187,nt,glove6,8,neg1,31,0,22,1,864,1,0.5889809400005106
9427,post_new,NA,138,neg,31,0,22,1,865,1,0.9331242180005574
2594,sub,backpack6,33,pos,31,0,22,1,866,1,0.753706831999807
2053,post_new,NA,94,neg,31,0,22,1,867,1,0.7110700110006292
8499,sub,calculator3,41,pos,31,0,22,1,868,1,0.753162656999848
9910,b,key3,28,neg2,31,0,22,1,869,1,0.7283493039994937
1645,post_new,NA,150,neu,31,0,22,1,870,1,0.626963474999684
3195,b,chessboard14,20,neg2,31,0,22,1,871,1,0.5405741229997147
2309,t,nunchaku16,50,neu,31,0,22,1,872,1,0.6230162250003559
2390,t,frisbee0,53,neu,31,0,22,1,873,1,0.6568658360001791
2490,b,cookingpan3,18,neg2,31,0,22,1,874,1,0.5985819139996238
7279,sub,hourglass16,2,pos,31,0,22,1,875,1,0.6537278809992131
2345.1,b,decorativescreen10,16,neg2,31,0,22,1,876,1,0.6025084500006415
9428,nt,broom11,11,neg1,31,0,22,1,877,1,0.8232119690001127
9075,nt,bearteddy16,7,neg1,31,0,22,1,878,1,0.5554563240002608
8031,post_new,NA,65,pos,31,0,22,1,879,1,0.6670389209994028
6242,post_new,NA,111,neg,31,0,22,1,880,1,0.7224217969996971
8492,sub,lei9,52,pos,31,0,22,1,881,1,0.6652521639998668
4700,post_new,NA,70,pos,31,0,22,1,882,1,0.6270960379997632
7057,t,cookie1,59,neu,31,0,22,1,883,1,0.6288556529998459
1111,post_new,NA,90,neg,31,0,22,1,884,1,0.6529268799995407
7506,post_new,NA,176,neu,31,0,22,1,885,1,0.6151871009997194
2095,post_new,NA,95,neg,31,0,22,1,886,1,0.8185990960000709
8120,t,compass1,44,pos,31,0,22,1,887,1,0.6277421929999036
2156,sub,compass1,44,pos,31,0,22,1,888,0,0.6251086490001398
8205,sub,tennisracquet7,13,pos,31,0,22,1,889,1,0.6875261300001512
9908,nt,tennisracquet7,13,neg1,31,0,22,1,890,1,0.6379174630001216
2593,post_new,NA,167,neu,31,0,22,1,891,1,0.6181583999996292
5731,post_new,NA,172,neu,31,0,22,1,892,1,0.7588024910000968
8600,post_new,NA,75,pos,31,0,22,1,893,1,0.648962524000126
2870,filler,coin15,57,neu,31,0,22,1,894,1,0.718817541000135
2314,sub,cookie1,59,pos,31,0,22,1,895,1,0.6649864199998774
7230,filler,suitcase9,42,pos,31,0,22,1,896,1,0.7492238020004152
9184,post_new,NA,126,neg,31,0,22,1,897,1,0.7045799580000676
7580,sub,gift15,34,pos,31,0,22,1,898,1,0.9029323059994567
4612,sub,glove6,8,pos,31,0,22,1,899,1,0.9714682590001757
4616,sub,toothpaste14,43,pos,31,0,22,1,900,0,1.5728751039996496
6834,post_new,NA,118,neg,31,0,22,1,901,1,0.9694580440000209
2205,b,cushion2,15,neg2,31,0,22,1,902,1,0.6503646430001027
9415,nt,pokercard14,10,neg1,31,0,22,1,903,1,0.6491970449997098
7405,sub,dresser12,35,pos,31,0,22,1,904,1,0.5744995559998642
5780,post_new,NA,63,pos,31,0,22,1,905,1,0.7187984430001961
2703,post_new,NA,101,neg,31,0,22,1,906,1,0.8018420929993226
9163,b,stapler5,23,neg2,31,0,22,1,907,1,0.7589468140004101
8065,post_new,NA,178,neu,31,0,22,1,908,1,0.655749372000173
1750,sub,microwave1,12,pos,31,0,22,1,909,1,0.762320971999543
8370,sub,cheesegrater14,3,pos,31,0,22,1,910,1,1.4493867569999566
2595,post_new,NA,168,neu,31,0,22,1,911,1,0.7044266769999012
2382,t,tent4,51,neu,31,0,22,1,912,1,0.6543086540004879
2224,post_new,NA,84,pos,31,0,22,1,913,1,0.7501686730001893
3216,nt,hourglass16,2,neg1,31,0,22,1,914,1,0.7908764989997508
2272,t,windchime16,47,neu,31,0,22,1,915,1,0.6001916220002386
9326,post_new,NA,130,neg,31,0,22,1,916,1,0.7900314810003692
2750,nt,bonzai14,1,neg1,31,0,22,1,917,1,0.8135935049995169
2208,post_new,NA,69,pos,31,0,22,1,918,1,1.0904168779998145
