IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
2309,filler,scissors5,50,neu,8,1,23,2,0
7325,filler,button5,43,pos,8,1,23,2,1
1920,filler,broom11,34,pos,8,1,23,2,2
2273,filler,cushion2,48,neu,8,1,23,2,3
1601,filler,bowtie11,31,pos,8,1,23,2,4
1659,t,balloon10,32,pos,8,1,23,2,5
2490,nt,scale13,18,neg2,8,1,23,2,6
2308,t,ringbinder8,49,neu,8,1,23,2,7
3216,b,lock14,2,neg1,8,1,23,2,8
9187,b,tape8,8,neg1,8,1,23,2,9
2345.1,nt,suitcase9,16,neg2,8,1,23,2,10
2749,t,microwave1,56,neu,8,1,23,2,11
7230,t,clock1,42,pos,8,1,23,2,12
2683,b,backpack6,0,neg1,8,1,23,2,13
6212,b,cheese8,4,neg1,8,1,23,2,14
9428,b,hanger9,11,neg1,8,1,23,2,15
2205,nt,stapler5,15,neg2,8,1,23,2,16
2396,t,exercise_equipment5,54,neu,8,1,23,2,17
9611,b,coin15,12,neg1,8,1,23,2,18
2340,t,turtle3,37,pos,8,1,23,2,19
3195,nt,tennisracquet7,20,neg2,8,1,23,2,20
2530,t,handbag3,40,pos,8,1,23,2,21
2590,nt,dumbbell0,19,neg2,8,1,23,2,22
9301,nt,hairbrush9,24,neg2,8,1,23,2,23
2383,t,cookingpan3,52,neu,8,1,23,2,24
9425,nt,camera7,26,neg2,8,1,23,2,25
6838,b,dresser12,6,neg1,8,1,23,2,26
2373,t,chessboard14,38,pos,8,1,23,2,27
2390,t,butterfly8,53,neu,8,1,23,2,28
9909,b,glove6,14,neg1,8,1,23,2,29
2870,t,seashell9,57,neu,8,1,23,2,30
9290,b,garbagetrash14,9,neg1,8,1,23,2,31
2272,t,calculator3,47,neu,8,1,23,2,32
9910,nt,lei9,28,neg2,8,1,23,2,33
9599,nt,compass1,27,neg2,8,1,23,2,34
9321,nt,nunchaku16,25,neg2,8,1,23,2,35
3500,nt,umbrella2,21,neg2,8,1,23,2,36
2091,t,binoculars14,35,pos,8,1,23,2,37
6821,nt,vase15,22,neg2,8,1,23,2,38
8120,t,cheesegrater14,44,pos,8,1,23,2,39
2750,b,rollerskates16,1,neg1,8,1,23,2,40
2456,nt,abacus9,17,neg2,8,1,23,2,41
9415,b,doorknob4,10,neg1,8,1,23,2,42
2398,t,cookie1,39,pos,8,1,23,2,43
3300,b,frame10,3,neg1,8,1,23,2,44
9921,nt,toothpaste14,29,neg2,8,1,23,2,45
9075,b,windchime16,7,neg1,8,1,23,2,46
6520,b,key3,5,neg1,8,1,23,2,47
2980,t,cookpot16,58,neu,8,1,23,2,48
4626,t,frisbee0,41,pos,8,1,23,2,49
1303,t,powerstrip12,45,neu,8,1,23,2,50
9908,b,gift15,13,neg1,8,1,23,2,51
2382,t,microscope1,51,neu,8,1,23,2,52
9163,nt,decorativescreen10,23,neg2,8,1,23,2,53
1710,t,tent4,33,pos,8,1,23,2,54
1340,filler,hourglass16,30,pos,8,1,23,2,55
2102,filler,fan2,46,neu,8,1,23,2,56
2154,filler,pokercard14,36,pos,8,1,23,2,57
2487,filler,bonzai14,55,neu,8,1,23,2,58
7057,filler,bearteddy16,59,neu,8,1,23,2,59
