IAPS,valence,cond,cue,sub,time,order
7440,pos,sub,hairbrush9,7440,0,320
2216,pos,sub,balloon10,2216,0,321
5780,pos,sub,dresser12,5780,0,322
8497,pos,sub,rollerskates16,8497,0,323
4614,pos,sub,fan2,4614,0,324
2314,pos,pre_new,toothpaste14,2314,0,325
2370,pos,pre_new,glove6,2370,0,326
1463,pos,pre_new,handbag3,1463,0,327
5833,pos,sub,binoculars14,5833,0,328
7580,pos,pre_new,doorknob4,7580,0,329
4616,pos,sub,hanger9,4616,0,330
2037,pos,sub,tent4,2037,0,331
7279,pos,sub,decorativescreen10,7279,0,332
8031,pos,sub,coin15,8031,0,333
2346,pos,sub,dumbbell0,2346,0,334
8030,pos,pre_new,cheese8,8030,0,335
8496,pos,pre_new,microscope1,8496,0,336
2560,pos,sub,umbrella2,2560,0,337
8492,pos,sub,tape8,8492,0,338
8330,pos,sub,button5,8330,0,339
2156,pos,sub,bonzai14,2156,0,340
8370,pos,sub,cookie1,8370,0,341
5621,pos,pre_new,seashell9,5621,0,342
1811,pos,sub,calculator3,1811,0,343
7280,pos,sub,key3,7280,0,344
8210,pos,sub,stapler5,8210,0,345
4700,pos,sub,ringbinder8,4700,0,346
2391,pos,sub,cheesegrater14,2391,0,347
4612,pos,sub,backpack6,4612,0,348
2331,pos,sub,camera7,2331,0,349
2388,pos,sub,cushion2,2388,0,350
2339,pos,sub,pokercard14,2339,0,351
1441,pos,sub,vase15,1441,0,352
2035,pos,sub,scissors5,2035,0,353
2594,pos,sub,frame10,2594,0,354
2302,pos,pre_new,compass1,2302,0,355
5470,pos,sub,windchime16,5470,0,356
8499,pos,sub,bowtie11,8499,0,357
2208,pos,sub,hourglass16,2208,0,358
7405,pos,pre_new,garbagetrash14,7405,0,359
5910,pos,sub,abacus9,5910,0,360
1650,pos,sub,cookingpan3,1650,0,361
4628,pos,sub,chessboard14,4628,0,362
2598,pos,pre_new,suitcase9,2598,0,363
2341,pos,sub,powerstrip12,2341,0,364
4616,pos,sub,hanger9,4616,1,375
7279,pos,sub,decorativescreen10,7279,1,376
8499,pos,sub,bowtie11,8499,1,377
2037,pos,sub,tent4,2037,1,378
7440,pos,sub,hairbrush9,7440,1,379
1650,pos,sub,cookingpan3,1650,1,380
1441,pos,sub,vase15,1441,1,381
2035,pos,sub,scissors5,2035,1,382
2331,pos,sub,camera7,2331,1,383
5470,pos,sub,windchime16,5470,1,384
8492,pos,sub,tape8,8492,1,385
2216,pos,sub,balloon10,2216,1,386
8370,pos,sub,cookie1,8370,1,387
2560,pos,sub,umbrella2,2560,1,388
2346,pos,sub,dumbbell0,2346,1,389
4614,pos,sub,fan2,4614,1,390
1811,pos,sub,calculator3,1811,1,391
5780,pos,sub,dresser12,5780,1,392
7280,pos,sub,key3,7280,1,393
2341,pos,sub,powerstrip12,2341,1,394
4700,pos,sub,ringbinder8,4700,1,395
4628,pos,sub,chessboard14,4628,1,396
8210,pos,sub,stapler5,8210,1,397
8497,pos,sub,rollerskates16,8497,1,398
8031,pos,sub,coin15,8031,1,399
5833,pos,sub,binoculars14,5833,1,400
2594,pos,sub,frame10,2594,1,401
8330,pos,sub,button5,8330,1,402
2391,pos,sub,cheesegrater14,2391,1,403
2156,pos,sub,bonzai14,2156,1,404
5910,pos,sub,abacus9,5910,1,405
4612,pos,sub,backpack6,4612,1,406
2208,pos,sub,hourglass16,2208,1,407
2339,pos,sub,pokercard14,2339,1,408
2388,pos,sub,cushion2,2388,1,409
