itemID,cond,value,subjID,gender,age,CB
0,d,1,23,1,19,1
1,d,2,23,1,19,1
2,d,3,23,1,19,1
3,d,3,23,1,19,1
4,b,3,23,1,19,1
5,d,3,23,1,19,1
6,r,4,23,1,19,1
7,d,2,23,1,19,1
8,d,2,23,1,19,1
9,b,3,23,1,19,1
10,r,1,23,1,19,1
11,r,1,23,1,19,1
12,b,1,23,1,19,1
13,d,1,23,1,19,1
14,b,2,23,1,19,1
15,b,1,23,1,19,1
16,d,2,23,1,19,1
17,d,3,23,1,19,1
18,d,2,23,1,19,1
19,r,2,23,1,19,1
20,r,1,23,1,19,1
21,d,1,23,1,19,1
