IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
2272,filler,fan2,47,neu,36,1,19,1,0
7325,filler,decorativescreen10,43,pos,36,1,19,1,1
2398,filler,seashell9,39,pos,36,1,19,1,2
2308,filler,hourglass16,49,neu,36,1,19,1,3
7230,filler,rollerskates16,42,pos,36,1,19,1,4
9301,b,hanger9,24,neg2,36,1,19,1,5
9428,nt,butterfly8,11,neg1,36,1,19,1,6
9290,nt,tent4,9,neg1,36,1,19,1,7
2383,t,button5,52,neu,36,1,19,1,8
9187,nt,camera7,8,neg1,36,1,19,1,9
2750,nt,toothpaste14,1,neg1,36,1,19,1,10
2396,t,exercise_equipment5,54,neu,36,1,19,1,11
2205,b,balloon10,15,neg2,36,1,19,1,12
9075,nt,glove6,7,neg1,36,1,19,1,13
2456,b,binoculars14,17,neg2,36,1,19,1,14
4626,t,backpack6,41,pos,36,1,19,1,15
9425,b,tape8,26,neg2,36,1,19,1,16
2273,t,abacus9,48,neu,36,1,19,1,17
2345.1,b,compass1,16,neg2,36,1,19,1,18
6821,b,calculator3,22,neg2,36,1,19,1,19
6520,nt,microwave1,5,neg1,36,1,19,1,20
9921,b,dresser12,29,neg2,36,1,19,1,21
2870,t,garbagetrash14,57,neu,36,1,19,1,22
2373,t,chessboard14,38,pos,36,1,19,1,23
1710,t,lock14,33,pos,36,1,19,1,24
3300,nt,cookpot16,3,neg1,36,1,19,1,25
1659,t,turtle3,32,pos,36,1,19,1,26
9321,b,vase15,25,neg2,36,1,19,1,27
7057,t,bonzai14,59,neu,36,1,19,1,28
2102,t,gift15,46,neu,36,1,19,1,29
2487,t,hairbrush9,55,neu,36,1,19,1,30
9909,nt,tennisracquet7,14,neg1,36,1,19,1,31
2490,b,cookie1,18,neg2,36,1,19,1,32
9611,nt,cheese8,12,neg1,36,1,19,1,33
3195,b,broom11,20,neg2,36,1,19,1,34
9415,nt,doorknob4,10,neg1,36,1,19,1,35
3216,nt,scale13,2,neg1,36,1,19,1,36
2590,b,suitcase9,19,neg2,36,1,19,1,37
9163,b,scissors5,23,neg2,36,1,19,1,38
2309,t,bowtie11,50,neu,36,1,19,1,39
2154,t,cheesegrater14,36,pos,36,1,19,1,40
3500,b,nunchaku16,21,neg2,36,1,19,1,41
9908,nt,coin15,13,neg1,36,1,19,1,42
8120,t,ringbinder8,44,pos,36,1,19,1,43
2530,t,pokercard14,40,pos,36,1,19,1,44
6212,nt,frame10,4,neg1,36,1,19,1,45
2382,t,key3,51,neu,36,1,19,1,46
9910,b,bearteddy16,28,neg2,36,1,19,1,47
2683,nt,windchime16,0,neg1,36,1,19,1,48
6838,nt,clock1,6,neg1,36,1,19,1,49
2091,t,umbrella2,35,pos,36,1,19,1,50
1920,t,cushion2,34,pos,36,1,19,1,51
2340,t,cookingpan3,37,pos,36,1,19,1,52
9599,b,frisbee0,27,neg2,36,1,19,1,53
2980,t,handbag3,58,neu,36,1,19,1,54
2390,filler,powerstrip12,53,neu,36,1,19,1,55
2749,filler,microscope1,56,neu,36,1,19,1,56
1340,filler,dumbbell0,30,pos,36,1,19,1,57
1601,filler,lei9,31,pos,36,1,19,1,58
1303,filler,stapler5,45,neu,36,1,19,1,59
