IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,block,intrusion,RT
2340,filler,tape8,37,pos,31,0,22,1,369,0,,0.0
1340,filler,lock14,30,pos,31,0,22,1,370,0,0,1.37
2102,filler,scale13,46,neu,31,0,22,1,371,0,,0.0
2870,filler,coin15,57,neu,31,0,22,1,372,0,,0.0
2487,filler,vase15,55,neu,31,0,22,1,373,0,2,0.437
2398,filler,camera7,39,pos,31,0,22,1,374,0,2,0.837
2373,filler,hanger9,38,pos,31,0,22,1,375,0,2,1.171
2749,filler,handbag3,56,neu,31,0,22,1,376,0,2,1.054
2273,filler,bowtie11,48,neu,31,0,22,1,377,0,2,0.537
7230,filler,suitcase9,42,pos,31,0,22,1,378,0,2,0.704
2382,t,tent4,51,neu,31,0,22,1,414,1,0,1.387
9908,nt,tennisracquet7,13,neg1,31,0,22,1,415,1,,0.0
2308,t,rollerskates16,49,neu,31,0,22,1,416,1,2,0.67
1920,t,gift15,34,pos,31,0,22,1,417,1,2,0.437
9187,nt,glove6,8,neg1,31,0,22,1,418,1,2,0.887
4626,t,calculator3,41,pos,31,0,22,1,419,1,0,0.721
6838,nt,butterfly8,6,neg1,31,0,22,1,420,1,0,0.62
2091,t,dresser12,35,pos,31,0,22,1,421,1,2,0.437
9611,nt,microwave1,12,neg1,31,0,22,1,422,1,2,1.121
1710,t,backpack6,33,pos,31,0,22,1,423,1,2,0.487
2383,t,lei9,52,neu,31,0,22,1,424,1,2,0.404
9075,nt,bearteddy16,7,neg1,31,0,22,1,425,1,2,0.904
9428,nt,broom11,11,neg1,31,0,22,1,426,1,2,0.604
2309,t,nunchaku16,50,neu,31,0,22,1,427,1,2,0.47
7325,t,toothpaste14,43,pos,31,0,22,1,428,1,2,0.37
2750,nt,bonzai14,1,neg1,31,0,22,1,429,1,0,0.537
2396,t,frame10,54,neu,31,0,22,1,430,1,2,0.72
2390,t,frisbee0,53,neu,31,0,22,1,431,1,2,0.404
6212,nt,balloon10,4,neg1,31,0,22,1,432,1,0,0.62
2154,t,seashell9,36,pos,31,0,22,1,433,1,0,0.854
9415,nt,pokercard14,10,neg1,31,0,22,1,434,1,0,0.537
9290,nt,umbrella2,9,neg1,31,0,22,1,435,1,0,1.304
1601,t,microscope1,31,pos,31,0,22,1,436,1,2,0.387
3216,nt,hourglass16,2,neg1,31,0,22,1,437,1,1,1.071
2980,t,doorknob4,58,neu,31,0,22,1,438,1,2,0.787
1659,t,fan2,32,pos,31,0,22,1,439,1,2,0.371
9909,nt,abacus9,14,neg1,31,0,22,1,440,1,0,1.003
1303,t,dumbbell0,45,neu,31,0,22,1,441,1,2,0.353
3300,nt,cheesegrater14,3,neg1,31,0,22,1,442,1,0,0.87
2272,t,windchime16,47,neu,31,0,22,1,443,1,2,0.371
8120,t,compass1,44,pos,31,0,22,1,444,1,2,0.571
2530,t,cookpot16,40,pos,31,0,22,1,445,1,2,0.537
6520,nt,garbagetrash14,5,neg1,31,0,22,1,446,1,1,1.021
7057,t,cookie1,59,neu,31,0,22,1,447,1,2,0.321
2683,nt,binoculars14,0,neg1,31,0,22,1,448,1,2,0.504
1303,t,dumbbell0,45,neu,31,0,22,1,449,2,2,0.32
1659,t,fan2,32,pos,31,0,22,1,450,2,2,0.337
9428,nt,broom11,11,neg1,31,0,22,1,451,2,2,0.454
3216,nt,hourglass16,2,neg1,31,0,22,1,452,2,0,0.571
2309,t,nunchaku16,50,neu,31,0,22,1,453,2,2,0.304
1710,t,backpack6,33,pos,31,0,22,1,454,2,2,0.321
9611,nt,microwave1,12,neg1,31,0,22,1,455,2,1,0.387
7325,t,toothpaste14,43,pos,31,0,22,1,456,2,2,0.303
9908,nt,tennisracquet7,13,neg1,31,0,22,1,457,2,2,0.553
6520,nt,garbagetrash14,5,neg1,31,0,22,1,458,2,0,0.52
1601,t,microscope1,31,pos,31,0,22,1,459,2,2,0.337
2308,t,rollerskates16,49,neu,31,0,22,1,460,2,2,0.32
9909,nt,abacus9,14,neg1,31,0,22,1,461,2,0,0.737
2154,t,seashell9,36,pos,31,0,22,1,462,2,2,0.353
6212,nt,balloon10,4,neg1,31,0,22,1,463,2,0,0.587
4626,t,calculator3,41,pos,31,0,22,1,464,2,0,0.537
2683,nt,binoculars14,0,neg1,31,0,22,1,465,2,2,0.52
2390,t,frisbee0,53,neu,31,0,22,1,466,2,2,0.271
2750,nt,bonzai14,1,neg1,31,0,22,1,467,2,0,0.471
7057,t,cookie1,59,neu,31,0,22,1,468,2,2,0.285
2396,t,frame10,54,neu,31,0,22,1,469,2,2,0.287
2382,t,tent4,51,neu,31,0,22,1,470,2,0,0.837
9415,nt,pokercard14,10,neg1,31,0,22,1,471,2,0,0.437
6838,nt,butterfly8,6,neg1,31,0,22,1,472,2,1,0.537
8120,t,compass1,44,pos,31,0,22,1,473,2,2,0.337
2530,t,cookpot16,40,pos,31,0,22,1,474,2,2,0.271
3300,nt,cheesegrater14,3,neg1,31,0,22,1,475,2,0,0.437
1920,t,gift15,34,pos,31,0,22,1,476,2,2,0.303
2980,t,doorknob4,58,neu,31,0,22,1,477,2,2,0.304
