IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
1645,pre_new,NA,150,neu,1,1,21,1,144,1,0.6664036649999616
2235,pre_new,NA,155,neu,1,1,21,1,145,1,0.7303530740000497
2391,pre_new,NA,83,pos,1,1,21,1,146,1,0.7267960100000437
2341,pre_new,NA,87,pos,1,1,21,1,147,1,0.7164107809999223
8210,pre_new,NA,61,pos,1,1,21,1,148,1,0.755300889999944
9295,pre_new,NA,127,neg,1,1,21,1,149,1,0.7765921959999105
1659,filler,garbagetrash14,32,pos,1,1,21,1,150,1,0.8642493750000995
2530,filler,vase15,40,pos,1,1,21,1,151,1,0.7683235330000571
7325,t,cookpot16,43,pos,1,1,21,1,152,1,0.6999712110000473
2345.1,b,cushion2,16,neg2,1,1,21,1,153,1,0.6526119150000795
2456,b,calculator3,17,neg2,1,1,21,1,154,1,0.7041372670000783
9421,pre_new,NA,135,neg,1,1,21,1,155,1,0.7069780079998509
2396,t,camera7,54,neu,1,1,21,1,156,1,0.7497680849999142
9908,nt,bearteddy16,13,neg1,1,1,21,1,157,1,0.7538986440001736
2390,filler,bonzai14,53,neu,1,1,21,1,158,1,0.7088416910000888
9160,pre_new,NA,124,neg,1,1,21,1,159,1,1.5702866929998436
2870,t,cheese8,57,neu,1,1,21,1,160,0,0.7985660350000217
1601,filler,suitcase9,31,pos,1,1,21,1,161,0,1.500289629000008
3300,nt,scissors5,3,neg1,1,1,21,1,162,1,0.7276031070000499
2683,nt,lock14,0,neg1,1,1,21,1,163,1,0.8477542080001967
9599,b,lei9,27,neg2,1,1,21,1,164,1,0.7405329579999034
1111,pre_new,NA,90,neg,1,1,21,1,165,1,0.7503080879998834
2749,t,butterfly8,56,neu,1,1,21,1,166,1,1.1491978970000218
3500,b,turtle3,21,neg2,1,1,21,1,167,1,0.7993945879998137
2980,t,pokercard14,58,neu,1,1,21,1,168,1,0.8766621070001293
2750,nt,microwave1,1,neg1,1,1,21,1,169,1,0.7538959119999618
2102,filler,ringbinder8,46,neu,1,1,21,1,170,1,0.7218304339999122
6838,nt,hairbrush9,6,neg1,1,1,21,1,171,1,0.8517920990000221
9290,nt,fan2,9,neg1,1,1,21,1,172,0,0.8616881959999318
9452,pre_new,NA,141,neg,1,1,21,1,173,1,0.7507951719999255
2091,t,binoculars14,35,pos,1,1,21,1,174,1,0.7704098239998984
2340,t,frisbee0,37,pos,1,1,21,1,175,1,0.7985427430000982
7495,pre_new,NA,175,neu,1,1,21,1,176,1,0.7319479150000916
2308,filler,backpack6,49,neu,1,1,21,1,177,1,0.8165745630001311
8065,pre_new,NA,178,neu,1,1,21,1,178,1,0.7391571970001678
9415,nt,dresser12,10,neg1,1,1,21,1,179,1,0.7183465600001
2700,pre_new,NA,100,neg,1,1,21,1,180,1,0.902100044000008
2032,pre_new,NA,152,neu,1,1,21,1,181,1,1.4504915029999665
9031,pre_new,NA,121,neg,1,1,21,1,182,1,0.788207711000041
1650,pre_new,NA,84,pos,1,1,21,1,183,1,0.6606424719998358
6571,pre_new,NA,116,neg,1,1,21,1,184,1,0.7516101979999803
9341,pre_new,NA,132,neg,1,1,21,1,185,1,0.6836428770000111
2154,t,chessboard14,36,pos,1,1,21,1,186,1,0.9649014329997954
3211,pre_new,NA,169,neu,1,1,21,1,187,1,0.9501125980000324
9321,b,glove6,25,neg2,1,1,21,1,188,1,0.7058326979999947
9428,nt,tennisracquet7,11,neg1,1,1,21,1,189,1,0.9240621349999856
2273,filler,umbrella2,48,neu,1,1,21,1,190,1,0.9082931540001482
9927,pre_new,NA,149,neg,1,1,21,1,191,1,0.7236055989999386
9910,b,toothpaste14,28,neg2,1,1,21,1,192,1,0.7784597639999902
9419,pre_new,NA,134,neg,1,1,21,1,193,1,0.7926385099999607
2389,pre_new,NA,77,pos,1,1,21,1,194,1,0.7268220649998511
8161,pre_new,NA,71,pos,1,1,21,1,195,1,0.7222625000001699
