IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,block,intrusion,RT
2340,filler,cookie1,37,pos,21,1,20,1,353,0,,0.0
2870,filler,turtle3,57,neu,21,1,20,1,354,0,0,0.753
2382,filler,seashell9,51,neu,21,1,20,1,355,0,2,0.437
4626,filler,cheese8,41,pos,21,1,20,1,356,0,2,0.42
2487,filler,scissors5,55,neu,21,1,20,1,357,0,1,0.354
2273,filler,rollerskates16,48,neu,21,1,20,1,358,0,2,0.537
7325,filler,cookpot16,43,pos,21,1,20,1,359,0,0,0.854
1303,filler,hourglass16,45,neu,21,1,20,1,360,0,2,0.57
1659,filler,fan2,32,pos,21,1,20,1,361,0,2,0.737
1920,filler,microscope1,34,pos,21,1,20,1,362,0,2,0.671
1340,t,tent4,30,pos,21,1,20,1,398,1,0,1.12
7230,t,pokercard14,42,pos,21,1,20,1,399,1,1,0.687
6520,nt,cookingpan3,5,neg1,21,1,20,1,400,1,2,0.636
2383,t,handbag3,52,neu,21,1,20,1,401,1,2,0.604
2091,t,tape8,35,pos,21,1,20,1,402,1,2,0.603
9909,nt,chessboard14,14,neg1,21,1,20,1,403,1,0,0.537
2398,t,scale13,39,pos,21,1,20,1,404,1,1,0.804
9075,nt,broom11,7,neg1,21,1,20,1,405,1,0,0.82
8120,t,lei9,44,pos,21,1,20,1,406,1,2,0.604
2154,t,bowtie11,36,pos,21,1,20,1,407,1,1,0.471
9415,nt,cushion2,10,neg1,21,1,20,1,408,1,0,0.487
2683,nt,doorknob4,0,neg1,21,1,20,1,409,1,2,0.403
2980,t,clock1,58,neu,21,1,20,1,410,1,0,0.587
2272,t,powerstrip12,47,neu,21,1,20,1,411,1,2,0.402
9290,nt,stapler5,9,neg1,21,1,20,1,412,1,0,0.637
2309,t,calculator3,50,neu,21,1,20,1,413,1,1,0.604
6212,nt,balloon10,4,neg1,21,1,20,1,414,1,1,0.421
6838,nt,gift15,6,neg1,21,1,20,1,415,1,2,0.337
2102,t,microwave1,46,neu,21,1,20,1,416,1,2,0.354
2373,t,key3,38,pos,21,1,20,1,417,1,1,0.337
1710,t,coin15,33,pos,21,1,20,1,418,1,2,0.437
2308,t,butterfly8,49,neu,21,1,20,1,419,1,2,0.37
9908,nt,glove6,13,neg1,21,1,20,1,420,1,0,0.57
9187,nt,frame10,8,neg1,21,1,20,1,421,1,0,0.57
2530,t,bonzai14,40,pos,21,1,20,1,422,1,2,0.486
2749,t,binoculars14,56,neu,21,1,20,1,423,1,1,0.454
2750,nt,suitcase9,1,neg1,21,1,20,1,424,1,1,1.037
3300,nt,decorativescreen10,3,neg1,21,1,20,1,425,1,1,0.57
2396,t,toothpaste14,54,neu,21,1,20,1,426,1,2,0.504
1601,t,backpack6,31,pos,21,1,20,1,427,1,1,0.47
3216,nt,compass1,2,neg1,21,1,20,1,428,1,0,0.37
2390,t,hanger9,53,neu,21,1,20,1,429,1,1,0.403
9611,nt,exercise_equipment5,12,neg1,21,1,20,1,430,1,1,0.62
7057,t,button5,59,neu,21,1,20,1,431,1,2,0.82
9428,nt,dresser12,11,neg1,21,1,20,1,432,1,1,0.52
9908,nt,glove6,13,neg1,21,1,20,1,433,2,1,0.554
1710,t,coin15,33,pos,21,1,20,1,434,2,2,0.554
9611,nt,exercise_equipment5,12,neg1,21,1,20,1,435,2,1,0.436
7230,t,pokercard14,42,pos,21,1,20,1,436,2,2,0.387
2530,t,bonzai14,40,pos,21,1,20,1,437,2,2,0.47
2749,t,binoculars14,56,neu,21,1,20,1,438,2,1,0.404
6212,nt,balloon10,4,neg1,21,1,20,1,439,2,0,0.471
2272,t,powerstrip12,47,neu,21,1,20,1,440,2,2,0.387
9290,nt,stapler5,9,neg1,21,1,20,1,441,2,0,0.87
2154,t,bowtie11,36,pos,21,1,20,1,442,2,2,0.421
