IAPS,valence,cond,cue,sub,time,order
7405,pos,pre_new,frame10,7405,0,303
1731,pos,sub,fan2,1731,0,304
8492,pos,sub,vase15,8492,0,305
4616,pos,sub,decorativescreen10,4616,0,306
4628,pos,sub,cookie1,4628,0,307
2339,pos,sub,glove6,2339,0,308
1650,pos,pre_new,rollerskates16,1650,0,309
2560,pos,sub,cushion2,2560,0,310
4614,pos,sub,ringbinder8,4614,0,311
8499,pos,sub,suitcase9,8499,0,312
5470,pos,sub,toothpaste14,5470,0,313
8600,pos,pre_new,compass1,8600,0,314
2299,pos,sub,tennisracquet7,2299,0,315
8030,pos,sub,frisbee0,8030,0,316
1463,pos,sub,turtle3,1463,0,317
2370,pos,sub,microwave1,2370,0,318
8370,pos,sub,coin15,8370,0,319
2035,pos,sub,clock1,2035,0,320
4612,pos,sub,broom11,4612,0,321
2037,pos,sub,powerstrip12,2037,0,322
2302,pos,sub,binoculars14,2302,0,323
5780,pos,sub,bonzai14,5780,0,324
4700,pos,sub,gift15,4700,0,325
8118,pos,pre_new,abacus9,8118,0,326
1419,pos,sub,hanger9,1419,0,327
2389,pos,sub,scale13,2389,0,328
2791,pos,sub,calculator3,2791,0,329
5910,pos,pre_new,stapler5,5910,0,330
8205,pos,sub,seashell9,8205,0,331
1605,pos,pre_new,handbag3,1605,0,332
7279,pos,sub,umbrella2,7279,0,333
2341,pos,sub,backpack6,2341,0,334
8031,pos,sub,dresser12,8031,0,335
2156,pos,sub,butterfly8,2156,0,336
2388,pos,sub,cheese8,2388,0,337
7580,pos,pre_new,microscope1,7580,0,338
2314,pos,sub,cheesegrater14,2314,0,339
8496,pos,sub,scissors5,8496,0,340
8497,pos,sub,cookingpan3,8497,0,341
2030,pos,sub,exercise_equipment5,2030,0,342
8210,pos,pre_new,garbagetrash14,8210,0,343
8330,pos,sub,chessboard14,8330,0,344
8162,pos,sub,hourglass16,8162,0,345
1441,pos,pre_new,tent4,1441,0,346
2391,pos,pre_new,windchime16,2391,0,347
8499,pos,sub,suitcase9,8499,1,358
8162,pos,sub,hourglass16,8162,1,359
4700,pos,sub,gift15,4700,1,360
2314,pos,sub,cheesegrater14,2314,1,361
8492,pos,sub,vase15,8492,1,362
2389,pos,sub,scale13,2389,1,363
2156,pos,sub,butterfly8,2156,1,364
8030,pos,sub,frisbee0,8030,1,365
1731,pos,sub,fan2,1731,1,366
2791,pos,sub,calculator3,2791,1,367
2030,pos,sub,exercise_equipment5,2030,1,368
4628,pos,sub,cookie1,4628,1,369
5470,pos,sub,toothpaste14,5470,1,370
2299,pos,sub,tennisracquet7,2299,1,371
2370,pos,sub,microwave1,2370,1,372
2388,pos,sub,cheese8,2388,1,373
2035,pos,sub,clock1,2035,1,374
2037,pos,sub,powerstrip12,2037,1,375
8370,pos,sub,coin15,8370,1,376
2560,pos,sub,cushion2,2560,1,377
2341,pos,sub,backpack6,2341,1,378
5780,pos,sub,bonzai14,5780,1,379
8497,pos,sub,cookingpan3,8497,1,380
7279,pos,sub,umbrella2,7279,1,381
2339,pos,sub,glove6,2339,1,382
4616,pos,sub,decorativescreen10,4616,1,383
2302,pos,sub,binoculars14,2302,1,384
1419,pos,sub,hanger9,1419,1,385
8205,pos,sub,seashell9,8205,1,386
4614,pos,sub,ringbinder8,4614,1,387
8330,pos,sub,chessboard14,8330,1,388
8496,pos,sub,scissors5,8496,1,389
4612,pos,sub,broom11,4612,1,390
8031,pos,sub,dresser12,8031,1,391
1463,pos,sub,turtle3,1463,1,392
