IAPS,valence,cond,cue,sub,time,order
8370,pos,sub,cheesegrater14,8370,0,305
8600,pos,sub,tent4,8600,0,306
8161,pos,sub,hairbrush9,8161,0,307
4700,pos,pre_new,compass1,4700,0,308
1750,pos,pre_new,garbagetrash14,1750,0,309
7580,pos,sub,cushion2,7580,0,310
2791,pos,sub,tape8,2791,0,311
4614,pos,sub,button5,4614,0,312
8499,pos,sub,doorknob4,8499,0,313
4628,pos,sub,seashell9,4628,0,314
7405,pos,sub,bowtie11,7405,0,315
1731,pos,pre_new,butterfly8,1731,0,316
2331,pos,sub,tennisracquet7,2331,0,317
5470,pos,sub,balloon10,5470,0,318
2598,pos,sub,windchime16,2598,0,319
4599,pos,sub,backpack6,4599,0,320
2391,pos,sub,toothpaste14,2391,0,321
8031,pos,sub,suitcase9,8031,0,322
2389,pos,sub,fan2,2389,0,323
2158,pos,sub,glove6,2158,0,324
1650,pos,pre_new,microwave1,1650,0,325
2302,pos,pre_new,microscope1,2302,0,326
5910,pos,sub,frisbee0,5910,0,327
2346,pos,sub,coin15,2346,0,328
2224,pos,pre_new,cheese8,2224,0,329
8162,pos,sub,calculator3,8162,0,330
4616,pos,sub,camera7,4616,0,331
1811,pos,sub,rollerskates16,1811,0,332
5726,pos,sub,scissors5,5726,0,333
8492,pos,sub,powerstrip12,8492,0,334
1463,pos,sub,hanger9,1463,0,335
1605,pos,sub,bearteddy16,1605,0,336
8210,pos,sub,ringbinder8,8210,0,337
2156,pos,sub,turtle3,2156,0,338
8205,pos,sub,vase15,8205,0,339
2030,pos,pre_new,lei9,2030,0,340
1419,pos,sub,handbag3,1419,0,341
5833,pos,sub,dresser12,5833,0,342
2208,pos,pre_new,gift15,2208,0,343
5780,pos,pre_new,clock1,5780,0,344
2341,pos,sub,decorativescreen10,2341,0,345
2216,pos,sub,cookpot16,2216,0,346
5199,pos,sub,chessboard14,5199,0,347
2299,pos,pre_new,binoculars14,2299,0,348
8496,pos,sub,frame10,8496,0,349
2389,pos,sub,fan2,2389,1,360
5910,pos,sub,frisbee0,5910,1,361
4616,pos,sub,camera7,4616,1,362
7405,pos,sub,bowtie11,7405,1,363
8161,pos,sub,hairbrush9,8161,1,364
2391,pos,sub,toothpaste14,2391,1,365
2331,pos,sub,tennisracquet7,2331,1,366
8499,pos,sub,doorknob4,8499,1,367
2156,pos,sub,turtle3,2156,1,368
5726,pos,sub,scissors5,5726,1,369
8210,pos,sub,ringbinder8,8210,1,370
8600,pos,sub,tent4,8600,1,371
5833,pos,sub,dresser12,5833,1,372
2158,pos,sub,glove6,2158,1,373
1605,pos,sub,bearteddy16,1605,1,374
2346,pos,sub,coin15,2346,1,375
8162,pos,sub,calculator3,8162,1,376
8492,pos,sub,powerstrip12,8492,1,377
1463,pos,sub,hanger9,1463,1,378
2341,pos,sub,decorativescreen10,2341,1,379
2598,pos,sub,windchime16,2598,1,380
5470,pos,sub,balloon10,5470,1,381
8370,pos,sub,cheesegrater14,8370,1,382
8205,pos,sub,vase15,8205,1,383
1811,pos,sub,rollerskates16,1811,1,384
4614,pos,sub,button5,4614,1,385
5199,pos,sub,chessboard14,5199,1,386
8496,pos,sub,frame10,8496,1,387
8031,pos,sub,suitcase9,8031,1,388
7580,pos,sub,cushion2,7580,1,389
4599,pos,sub,backpack6,4599,1,390
1419,pos,sub,handbag3,1419,1,391
2216,pos,sub,cookpot16,2216,1,392
4628,pos,sub,seashell9,4628,1,393
2791,pos,sub,tape8,2791,1,394
