IAPS,valence,cond,cue,sub,time,order
1811,pos,sub,vase15,1811,0,303
2389,pos,sub,chessboard14,2389,0,304
7580,pos,sub,handbag3,7580,0,305
2224,pos,sub,lei9,2224,0,306
2370,pos,sub,suitcase9,2370,0,307
2594,pos,sub,abacus9,2594,0,308
2216,pos,sub,cookpot16,2216,0,309
8118,pos,sub,cheesegrater14,8118,0,310
2655,pos,sub,backpack6,2655,0,311
7280,pos,sub,toothpaste14,7280,0,312
8496,pos,pre_new,gift15,8496,0,313
1463,pos,pre_new,cheese8,1463,0,314
8499,pos,sub,lock14,8499,0,315
2035,pos,pre_new,glove6,2035,0,316
2030,pos,sub,tent4,2030,0,317
8497,pos,sub,cookingpan3,8497,0,318
2391,pos,sub,camera7,2391,0,319
4700,pos,sub,powerstrip12,4700,0,320
2331,pos,sub,decorativescreen10,2331,0,321
2346,pos,sub,coin15,2346,0,322
5833,pos,pre_new,calculator3,5833,0,323
8210,pos,sub,dresser12,8210,0,324
2341,pos,sub,bearteddy16,2341,0,325
4616,pos,sub,turtle3,4616,0,326
7279,pos,sub,hourglass16,7279,0,327
5199,pos,pre_new,cushion2,5199,0,328
2598,pos,sub,garbagetrash14,2598,0,329
4612,pos,sub,butterfly8,4612,0,330
8161,pos,sub,frisbee0,8161,0,331
8492,pos,pre_new,key3,8492,0,332
7405,pos,sub,clock1,7405,0,333
2791,pos,sub,bonzai14,2791,0,334
1441,pos,sub,scissors5,1441,0,335
2208,pos,sub,ringbinder8,2208,0,336
8470,pos,sub,compass1,8470,0,337
8330,pos,pre_new,tennisracquet7,8330,0,338
5470,pos,sub,umbrella2,5470,0,339
1731,pos,sub,doorknob4,1731,0,340
2314,pos,pre_new,fan2,2314,0,341
2302,pos,sub,microscope1,2302,0,342
2388,pos,sub,broom11,2388,0,343
2299,pos,sub,frame10,2299,0,344
1750,pos,sub,microwave1,1750,0,345
5780,pos,pre_new,binoculars14,5780,0,346
8370,pos,pre_new,scale13,8370,0,347
8118,pos,sub,cheesegrater14,8118,1,358
1441,pos,sub,scissors5,1441,1,359
2208,pos,sub,ringbinder8,2208,1,360
7280,pos,sub,toothpaste14,7280,1,361
2331,pos,sub,decorativescreen10,2331,1,362
2302,pos,sub,microscope1,2302,1,363
8210,pos,sub,dresser12,8210,1,364
7279,pos,sub,hourglass16,7279,1,365
2370,pos,sub,suitcase9,2370,1,366
5470,pos,sub,umbrella2,5470,1,367
8161,pos,sub,frisbee0,8161,1,368
4612,pos,sub,butterfly8,4612,1,369
4616,pos,sub,turtle3,4616,1,370
2655,pos,sub,backpack6,2655,1,371
2598,pos,sub,garbagetrash14,2598,1,372
2391,pos,sub,camera7,2391,1,373
4700,pos,sub,powerstrip12,4700,1,374
7580,pos,sub,handbag3,7580,1,375
2341,pos,sub,bearteddy16,2341,1,376
8497,pos,sub,cookingpan3,8497,1,377
2030,pos,sub,tent4,2030,1,378
2389,pos,sub,chessboard14,2389,1,379
7405,pos,sub,clock1,7405,1,380
1731,pos,sub,doorknob4,1731,1,381
2299,pos,sub,frame10,2299,1,382
8499,pos,sub,lock14,8499,1,383
2224,pos,sub,lei9,2224,1,384
2791,pos,sub,bonzai14,2791,1,385
2346,pos,sub,coin15,2346,1,386
2594,pos,sub,abacus9,2594,1,387
8470,pos,sub,compass1,8470,1,388
2216,pos,sub,cookpot16,2216,1,389
1750,pos,sub,microwave1,1750,1,390
1811,pos,sub,vase15,1811,1,391
2388,pos,sub,broom11,2388,1,392
