IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,val,aro,correct
2102,filler,scale13,46,neu,31,0,22,1,264,5,5,1
2749,filler,handbag3,56,neu,31,0,22,1,265,7,1,1
2340,filler,tape8,37,pos,31,0,22,1,266,7,1,1
2487,filler,vase15,55,neu,31,0,22,1,267,8,2,1
1340,filler,lock14,30,pos,31,0,22,1,268,9,1,1
4626,t,calculator3,41,pos,31,0,22,1,269,9,1,1
9428,nt,broom11,11,neg1,31,0,22,1,270,3,5,1
7325,t,toothpaste14,43,pos,31,0,22,1,271,7,1,1
2272,t,windchime16,47,neu,31,0,22,1,272,9,1,1
3195,b,chessboard14,20,neg2,31,0,22,1,273,2,7,1
3300,nt,cheesegrater14,3,neg1,31,0,22,1,274,3,3,1
9921,b,clock1,29,neg2,31,0,22,1,275,2,5,1
2530,t,cookpot16,40,pos,31,0,22,1,276,9,1,1
6212,nt,balloon10,4,neg1,31,0,22,1,277,2,4,1
2309,t,nunchaku16,50,neu,31,0,22,1,278,3,2,1
9163,b,stapler5,23,neg2,31,0,22,1,279,3,5,1
2390,t,frisbee0,53,neu,31,0,22,1,280,9,1,1
1659,t,fan2,32,pos,31,0,22,1,281,5,1,1
9301,b,hairbrush9,24,neg2,31,0,22,1,282,1,8,0
3500,b,button5,21,neg2,31,0,22,1,283,2,7,1
6838,nt,butterfly8,6,neg1,31,0,22,1,284,3,5,1
9611,nt,microwave1,12,neg1,31,0,22,1,285,1,9,1
6821,b,ringbinder8,22,neg2,31,0,22,1,286,2,7,1
1920,t,gift15,34,pos,31,0,22,1,287,8,1,1
2683,nt,binoculars14,0,neg1,31,0,22,1,288,2,6,1
8120,t,compass1,44,pos,31,0,22,1,289,8,1,1
9599,b,turtle3,27,neg2,31,0,22,1,290,3,4,1
2091,t,dresser12,35,pos,31,0,22,1,291,9,1,1
3216,nt,hourglass16,2,neg1,31,0,22,1,292,5,1,1
1303,t,dumbbell0,45,neu,31,0,22,1,293,5,1,1
9187,nt,glove6,8,neg1,31,0,22,1,294,2,5,1
2205,b,cushion2,15,neg2,31,0,22,1,295,5,3,1
2382,t,tent4,51,neu,31,0,22,1,296,7,1,1
9415,nt,pokercard14,10,neg1,31,0,22,1,297,2,5,1
2980,t,doorknob4,58,neu,31,0,22,1,298,5,1,1
9290,nt,umbrella2,9,neg1,31,0,22,1,299,3,2,1
1710,t,backpack6,33,pos,31,0,22,1,300,2,4,1
2590,b,cheese8,19,neg2,31,0,22,1,301,3,2,1
9321,b,powerstrip12,25,neg2,31,0,22,1,302,1,3,1
2490,b,cookingpan3,18,neg2,31,0,22,1,303,5,2,1
2396,t,frame10,54,neu,31,0,22,1,304,7,1,1
7057,t,cookie1,59,neu,31,0,22,1,305,7,1,1
9909,nt,abacus9,14,neg1,31,0,22,1,306,2,1,1
9075,nt,bearteddy16,7,neg1,31,0,22,1,307,1,3,1
9908,nt,tennisracquet7,13,neg1,31,0,22,1,308,2,4,1
2456,b,scissors5,17,neg2,31,0,22,1,309,2,4,1
2308,t,rollerskates16,49,neu,31,0,22,1,310,7,1,1
2383,t,lei9,52,neu,31,0,22,1,311,8,1,1
2750,nt,bonzai14,1,neg1,31,0,22,1,312,3,1,1
9425,b,exercise_equipment5,26,neg2,31,0,22,1,313,5,1,1
1601,t,microscope1,31,pos,31,0,22,1,314,8,1,1
6520,nt,garbagetrash14,5,neg1,31,0,22,1,315,2,4,1
9910,b,key3,28,neg2,31,0,22,1,316,5,1,1
2154,t,seashell9,36,pos,31,0,22,1,317,8,1,1
2345.1,b,decorativescreen10,16,neg2,31,0,22,1,318,1,4,1
2870,filler,coin15,57,neu,31,0,22,1,319,6,1,1
2398,filler,camera7,39,pos,31,0,22,1,320,8,1,1
7230,filler,suitcase9,42,pos,31,0,22,1,321,5,2,1
2273,filler,bowtie11,48,neu,31,0,22,1,322,9,1,1
2373,filler,hanger9,38,pos,31,0,22,1,323,5,1,1
