subjID,gender,age,phaseName,order,itemID,TNTcond,valence,cue,tar
17,1,24,encoding,0,33,filler,pos,dresser12,1710.0
17,1,24,encoding,1,51,filler,neu,balloon10,2382.0
17,1,24,encoding,2,36,filler,pos,cheese8,2154.0
17,1,24,encoding,3,49,filler,neu,rollerskates16,2308.0
17,1,24,encoding,4,57,filler,neu,bearteddy16,2870.0
17,1,24,encoding,5,29,b,neg2,frame10,9921.0
17,1,24,encoding,6,1,nt,neg1,broom11,2750.0
17,1,24,encoding,7,5,nt,neg1,key3,6520.0
17,1,24,encoding,8,26,b,neg2,microwave1,9425.0
17,1,24,encoding,9,16,b,neg2,tape8,2345.1
17,1,24,encoding,10,25,b,neg2,binoculars14,9321.0
17,1,24,encoding,11,48,t,neu,cushion2,2273.0
17,1,24,encoding,12,12,nt,neg1,vase15,9611.0
17,1,24,encoding,13,10,nt,neg1,nunchaku16,9415.0
17,1,24,encoding,14,20,b,neg2,calculator3,3195.0
17,1,24,encoding,15,37,t,pos,umbrella2,2340.0
17,1,24,encoding,16,8,nt,neg1,bowtie11,9187.0
17,1,24,encoding,17,17,b,neg2,windchime16,2456.0
17,1,24,encoding,18,47,t,neu,suitcase9,2272.0
17,1,24,encoding,19,56,t,neu,lock14,2749.0
17,1,24,encoding,20,50,t,neu,exercise_equipment5,2309.0
17,1,24,encoding,21,21,b,neg2,powerstrip12,3500.0
17,1,24,encoding,22,11,nt,neg1,abacus9,9428.0
17,1,24,encoding,23,40,t,pos,frisbee0,2530.0
17,1,24,encoding,24,14,nt,neg1,stapler5,9909.0
17,1,24,encoding,25,19,b,neg2,lei9,2590.0
17,1,24,encoding,26,13,nt,neg1,compass1,9908.0
17,1,24,encoding,27,42,t,pos,butterfly8,7230.0
17,1,24,encoding,28,0,nt,neg1,handbag3,2683.0
17,1,24,encoding,29,27,b,neg2,cookpot16,9599.0
17,1,24,encoding,30,22,b,neg2,tennisracquet7,6821.0
17,1,24,encoding,31,44,t,pos,microscope1,8120.0
17,1,24,encoding,32,52,t,neu,button5,2383.0
17,1,24,encoding,33,43,t,pos,cookie1,7325.0
17,1,24,encoding,34,46,t,neu,doorknob4,2102.0
17,1,24,encoding,35,53,t,neu,cookingpan3,2390.0
17,1,24,encoding,36,2,nt,neg1,garbagetrash14,3216.0
17,1,24,encoding,37,31,t,pos,glove6,1601.0
17,1,24,encoding,38,3,nt,neg1,hanger9,3300.0
17,1,24,encoding,39,41,t,pos,dumbbell0,4626.0
17,1,24,encoding,40,38,t,pos,cheesegrater14,2373.0
17,1,24,encoding,41,4,nt,neg1,fan2,6212.0
17,1,24,encoding,42,54,t,neu,turtle3,2396.0
17,1,24,encoding,43,23,b,neg2,scale13,9163.0
17,1,24,encoding,44,28,b,neg2,toothpaste14,9910.0
17,1,24,encoding,45,39,t,pos,decorativescreen10,2398.0
17,1,24,encoding,46,58,t,neu,chessboard14,2980.0
17,1,24,encoding,47,9,nt,neg1,bonzai14,9290.0
17,1,24,encoding,48,24,b,neg2,gift15,9301.0
17,1,24,encoding,49,30,t,pos,coin15,1340.0
17,1,24,encoding,50,55,t,neu,ringbinder8,2487.0
17,1,24,encoding,51,15,b,neg2,hairbrush9,2205.0
17,1,24,encoding,52,7,nt,neg1,tent4,9075.0
17,1,24,encoding,53,18,b,neg2,seashell9,2490.0
17,1,24,encoding,54,6,nt,neg1,pokercard14,6838.0
17,1,24,encoding,55,32,filler,pos,clock1,1659.0
17,1,24,encoding,56,45,filler,neu,scissors5,1303.0
17,1,24,encoding,57,34,filler,pos,hourglass16,1920.0
17,1,24,encoding,58,59,filler,neu,backpack6,7057.0
17,1,24,encoding,59,35,filler,pos,camera7,2091.0
