IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
1659,filler,fan2,32,pos,21,1,20,1,0
2382,filler,seashell9,51,neu,21,1,20,1,1
2273,filler,rollerskates16,48,neu,21,1,20,1,2
1303,filler,hourglass16,45,neu,21,1,20,1,3
2487,filler,scissors5,55,neu,21,1,20,1,4
2309,t,calculator3,50,neu,21,1,20,1,5
2456,b,bearteddy16,17,neg2,21,1,20,1,6
2490,b,camera7,18,neg2,21,1,20,1,7
9425,b,ringbinder8,26,neg2,21,1,20,1,8
1710,t,coin15,33,pos,21,1,20,1,9
9187,nt,frame10,8,neg1,21,1,20,1,10
9908,nt,glove6,13,neg1,21,1,20,1,11
2683,nt,doorknob4,0,neg1,21,1,20,1,12
3300,nt,decorativescreen10,3,neg1,21,1,20,1,13
2373,t,key3,38,pos,21,1,20,1,14
7057,t,button5,59,neu,21,1,20,1,15
9910,b,lock14,28,neg2,21,1,20,1,16
2390,t,hanger9,53,neu,21,1,20,1,17
9909,nt,chessboard14,14,neg1,21,1,20,1,18
9301,b,windchime16,24,neg2,21,1,20,1,19
3216,nt,compass1,2,neg1,21,1,20,1,20
2154,t,bowtie11,36,pos,21,1,20,1,21
7230,t,pokercard14,42,pos,21,1,20,1,22
2205,b,garbagetrash14,15,neg2,21,1,20,1,23
9075,nt,broom11,7,neg1,21,1,20,1,24
9163,b,frisbee0,23,neg2,21,1,20,1,25
1340,t,tent4,30,pos,21,1,20,1,26
9611,nt,exercise_equipment5,12,neg1,21,1,20,1,27
2398,t,scale13,39,pos,21,1,20,1,28
2750,nt,suitcase9,1,neg1,21,1,20,1,29
2590,b,dumbbell0,19,neg2,21,1,20,1,30
9921,b,hairbrush9,29,neg2,21,1,20,1,31
2749,t,binoculars14,56,neu,21,1,20,1,32
1601,t,backpack6,31,pos,21,1,20,1,33
2102,t,microwave1,46,neu,21,1,20,1,34
8120,t,lei9,44,pos,21,1,20,1,35
2272,t,powerstrip12,47,neu,21,1,20,1,36
3195,b,tennisracquet7,20,neg2,21,1,20,1,37
2091,t,tape8,35,pos,21,1,20,1,38
6838,nt,gift15,6,neg1,21,1,20,1,39
3500,b,abacus9,21,neg2,21,1,20,1,40
2308,t,butterfly8,49,neu,21,1,20,1,41
2980,t,clock1,58,neu,21,1,20,1,42
2396,t,toothpaste14,54,neu,21,1,20,1,43
6520,nt,cookingpan3,5,neg1,21,1,20,1,44
9290,nt,stapler5,9,neg1,21,1,20,1,45
6212,nt,balloon10,4,neg1,21,1,20,1,46
9599,b,vase15,27,neg2,21,1,20,1,47
2530,t,bonzai14,40,pos,21,1,20,1,48
2345.1,b,umbrella2,16,neg2,21,1,20,1,49
9321,b,nunchaku16,25,neg2,21,1,20,1,50
2383,t,handbag3,52,neu,21,1,20,1,51
9415,nt,cushion2,10,neg1,21,1,20,1,52
9428,nt,dresser12,11,neg1,21,1,20,1,53
6821,b,cheesegrater14,22,neg2,21,1,20,1,54
7325,filler,cookpot16,43,pos,21,1,20,1,55
2870,filler,turtle3,57,neu,21,1,20,1,56
4626,filler,cheese8,41,pos,21,1,20,1,57
2340,filler,cookie1,37,pos,21,1,20,1,58
1920,filler,microscope1,34,pos,21,1,20,1,59
