IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
1710,filler,coin15,33,pos,9,1,20,1,0
2340,filler,hanger9,37,pos,9,1,20,1,1
1710,filler,coin15,33,pos,9,1,20,1,0
2340,filler,hanger9,37,pos,9,1,20,1,1
7325,filler,calculator3,43,pos,9,1,20,1,2
2272,filler,frisbee0,47,neu,9,1,20,1,3
2154,filler,camera7,36,pos,9,1,20,1,4
2750,nt,chessboard14,1,neg1,9,1,20,1,5
7230,t,scale13,42,pos,9,1,20,1,6
1659,t,cheesegrater14,32,pos,9,1,20,1,7
1340,t,exercise_equipment5,30,pos,9,1,20,1,8
6821,b,butterfly8,22,neg2,9,1,20,1,9
9599,b,microwave1,27,neg2,9,1,20,1,10
6838,nt,nunchaku16,6,neg1,9,1,20,1,11
9428,nt,cookpot16,11,neg1,9,1,20,1,12
9075,nt,key3,7,neg1,9,1,20,1,13
9908,nt,compass1,13,neg1,9,1,20,1,14
6520,nt,balloon10,5,neg1,9,1,20,1,15
3300,nt,broom11,3,neg1,9,1,20,1,16
9290,nt,rollerskates16,9,neg1,9,1,20,1,17
2980,t,tennisracquet7,58,neu,9,1,20,1,18
2345.1,b,cushion2,16,neg2,9,1,20,1,19
9910,b,glove6,28,neg2,9,1,20,1,20
9321,b,lock14,25,neg2,9,1,20,1,21
1920,t,button5,34,pos,9,1,20,1,22
3195,b,bearteddy16,20,neg2,9,1,20,1,23
2490,b,pokercard14,18,neg2,9,1,20,1,24
2398,t,vase15,39,pos,9,1,20,1,25
9187,nt,doorknob4,8,neg1,9,1,20,1,26
2383,t,tape8,52,neu,9,1,20,1,27
4626,t,cheese8,41,pos,9,1,20,1,28
2205,b,clock1,15,neg2,9,1,20,1,29
2870,t,tent4,57,neu,9,1,20,1,30
2530,t,cookie1,40,pos,9,1,20,1,31
9425,b,garbagetrash14,26,neg2,9,1,20,1,32
2091,t,cookingpan3,35,pos,9,1,20,1,33
2382,t,microscope1,51,neu,9,1,20,1,34
3500,b,binoculars14,21,neg2,9,1,20,1,35
9301,b,dumbbell0,24,neg2,9,1,20,1,36
2390,t,toothpaste14,53,neu,9,1,20,1,37
2102,t,windchime16,46,neu,9,1,20,1,38
2683,nt,handbag3,0,neg1,9,1,20,1,39
2273,t,hairbrush9,48,neu,9,1,20,1,40
8120,t,dresser12,44,pos,9,1,20,1,41
3216,nt,bowtie11,2,neg1,9,1,20,1,42
9415,nt,gift15,10,neg1,9,1,20,1,43
2373,t,umbrella2,38,pos,9,1,20,1,44
2309,t,seashell9,50,neu,9,1,20,1,45
9909,nt,bonzai14,14,neg1,9,1,20,1,46
2749,t,turtle3,56,neu,9,1,20,1,47
6212,nt,hourglass16,4,neg1,9,1,20,1,48
7057,t,frame10,59,neu,9,1,20,1,49
9163,b,suitcase9,23,neg2,9,1,20,1,50
2456,b,scissors5,17,neg2,9,1,20,1,51
9611,nt,powerstrip12,12,neg1,9,1,20,1,52
2590,b,ringbinder8,19,neg2,9,1,20,1,53
9921,b,lei9,29,neg2,9,1,20,1,54
2487,filler,decorativescreen10,55,neu,9,1,20,1,55
1303,filler,abacus9,45,neu,9,1,20,1,56
2396,filler,backpack6,54,neu,9,1,20,1,57
1601,filler,stapler5,31,pos,9,1,20,1,58
2308,filler,fan2,49,neu,9,1,20,1,59
