IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,cycleN,correct
2154,t,bowtie11,36,pos,7,1,22,2,60,0,1
2382,filler,frame10,51,neu,7,1,22,2,61,0,1
9290,b,garbagetrash14,9,neg1,7,1,22,2,62,0,1
2272,filler,umbrella2,47,neu,7,1,22,2,63,0,1
1303,t,nunchaku16,45,neu,7,1,22,2,64,0,1
9321,nt,suitcase9,25,neg2,7,1,22,2,65,0,0
2749,t,tent4,56,neu,7,1,22,2,66,0,0
2490,nt,coin15,18,neg2,7,1,22,2,67,0,1
3300,b,compass1,3,neg1,7,1,22,2,68,0,1
9909,b,fan2,14,neg1,7,1,22,2,69,0,0
2456,nt,backpack6,17,neg2,7,1,22,2,70,0,0
9301,nt,frisbee0,24,neg2,7,1,22,2,71,0,1
8120,t,exercise_equipment5,44,pos,7,1,22,2,72,0,1
2590,nt,hanger9,19,neg2,7,1,22,2,73,0,1
2373,t,abacus9,38,pos,7,1,22,2,74,0,0
7057,t,scale13,59,neu,7,1,22,2,75,0,0
2273,t,butterfly8,48,neu,7,1,22,2,76,0,1
3195,nt,pokercard14,20,neg2,7,1,22,2,77,0,1
9415,b,key3,10,neg1,7,1,22,2,78,0,0
2398,t,broom11,39,pos,7,1,22,2,79,0,0
2102,t,rollerskates16,46,neu,7,1,22,2,80,0,1
9163,nt,seashell9,23,neg2,7,1,22,2,81,0,1
6520,b,powerstrip12,5,neg1,7,1,22,2,82,0,1
2487,filler,bearteddy16,55,neu,7,1,22,2,83,0,0
9908,b,cheesegrater14,13,neg1,7,1,22,2,84,0,1
6821,nt,toothpaste14,22,neg2,7,1,22,2,85,0,1
2205,nt,cookie1,15,neg2,7,1,22,2,86,0,0
6212,b,calculator3,4,neg1,7,1,22,2,87,0,0
2383,t,lock14,52,neu,7,1,22,2,88,0,1
9428,b,ringbinder8,11,neg1,7,1,22,2,89,0,0
9921,nt,button5,29,neg2,7,1,22,2,90,0,1
3500,nt,decorativescreen10,21,neg2,7,1,22,2,91,0,1
2980,filler,binoculars14,58,neu,7,1,22,2,92,0,1
9611,b,cheese8,12,neg1,7,1,22,2,93,0,1
2683,b,gift15,0,neg1,7,1,22,2,94,0,0
6838,b,handbag3,6,neg1,7,1,22,2,95,0,1
2390,t,doorknob4,53,neu,7,1,22,2,96,0,0
7230,filler,tape8,42,pos,7,1,22,2,97,0,0
4626,t,lei9,41,pos,7,1,22,2,98,0,1
9187,b,cushion2,8,neg1,7,1,22,2,99,0,1
2750,b,cookpot16,1,neg1,7,1,22,2,100,0,0
2340,t,camera7,37,pos,7,1,22,2,101,0,0
1601,filler,balloon10,31,pos,7,1,22,2,102,0,1
2870,t,dumbbell0,57,neu,7,1,22,2,103,0,1
9910,nt,stapler5,28,neg2,7,1,22,2,104,0,1
2345.1,nt,glove6,16,neg2,7,1,22,2,105,0,1
1340,t,hairbrush9,30,pos,7,1,22,2,106,0,1
7325,t,scissors5,43,pos,7,1,22,2,107,0,1
9425,nt,microscope1,26,neg2,7,1,22,2,108,0,1
1920,t,bonzai14,34,pos,7,1,22,2,109,0,1
2091,t,turtle3,35,pos,7,1,22,2,110,0,1
9599,nt,hourglass16,27,neg2,7,1,22,2,111,0,1
3216,b,windchime16,2,neg1,7,1,22,2,112,0,1
2530,filler,vase15,40,pos,7,1,22,2,113,0,0
9075,b,clock1,7,neg1,7,1,22,2,114,0,1
1659,filler,microwave1,32,pos,7,1,22,2,115,0,1
1710,filler,dresser12,33,pos,7,1,22,2,116,0,1
2308,t,tennisracquet7,49,neu,7,1,22,2,117,0,1
2309,t,chessboard14,50,neu,7,1,22,2,118,0,1
2396,filler,cookingpan3,54,neu,7,1,22,2,119,0,1
2487,filler,bearteddy16,55,neu,7,1,22,2,120,1,1
2398,t,broom11,39,pos,7,1,22,2,121,1,1
2749,t,tent4,56,neu,7,1,22,2,122,1,0
2205,nt,cookie1,15,neg2,7,1,22,2,123,1,1
2390,t,doorknob4,53,neu,7,1,22,2,124,1,1
2683,b,gift15,0,neg1,7,1,22,2,125,1,1
9428,b,ringbinder8,11,neg1,7,1,22,2,126,1,1
2530,filler,vase15,40,pos,7,1,22,2,127,1,1
6212,b,calculator3,4,neg1,7,1,22,2,128,1,1
9321,nt,suitcase9,25,neg2,7,1,22,2,129,1,1
7057,t,scale13,59,neu,7,1,22,2,130,1,1
2340,t,camera7,37,pos,7,1,22,2,131,1,1
2456,nt,backpack6,17,neg2,7,1,22,2,132,1,1
2373,t,abacus9,38,pos,7,1,22,2,133,1,1
7230,filler,tape8,42,pos,7,1,22,2,134,1,1
9415,b,key3,10,neg1,7,1,22,2,135,1,1
2750,b,cookpot16,1,neg1,7,1,22,2,136,1,1
9909,b,fan2,14,neg1,7,1,22,2,137,1,1
2749,t,tent4,56,neu,7,1,22,2,138,2,1
