16,1,20,TNT,prac,304,43,filler,pos,microwave1,7325.0,,0.0
16,1,20,TNT,prac,305,42,filler,pos,handbag3,7230.0,2,0.82
16,1,20,TNT,prac,306,30,filler,pos,tennisracquet7,1340.0,1,0.52
16,1,20,TNT,prac,307,37,filler,pos,fan2,2340.0,2,0.82
16,1,20,TNT,prac,308,34,filler,pos,bowtie11,1920.0,2,0.436
16,1,20,TNT,prac,309,54,filler,neu,seashell9,2396.0,2,0.421
16,1,20,TNT,prac,310,50,filler,neu,nunchaku16,2309.0,1,0.687
16,1,20,TNT,prac,311,53,filler,neu,key3,2390.0,0,0.453
16,1,20,TNT,prac,312,56,filler,neu,cookie1,2749.0,1,0.503
16,1,20,TNT,prac,313,46,filler,neu,gift15,2102.0,2,0.387
16,1,20,TNT,0,314,33,t,pos,umbrella2,1710.0,2,0.454
16,1,20,TNT,0,315,51,t,neu,backpack6,2382.0,2,0.57
16,1,20,TNT,0,316,27,nt,neg2,doorknob4,9599.0,0,0.536
16,1,20,TNT,0,317,32,t,pos,button5,1659.0,2,0.354
16,1,20,TNT,0,318,16,nt,neg2,powerstrip12,2345.1,1,0.254
16,1,20,TNT,0,319,47,t,neu,calculator3,2272.0,2,0.437
16,1,20,TNT,0,320,18,nt,neg2,frame10,2490.0,0,0.42
16,1,20,TNT,0,321,40,t,pos,compass1,2530.0,2,0.42
16,1,20,TNT,0,322,24,nt,neg2,scissors5,9301.0,2,0.353
16,1,20,TNT,0,323,23,nt,neg2,exercise_equipment5,9163.0,0,0.304
16,1,20,TNT,0,324,58,t,neu,garbagetrash14,2980.0,1,0.453
16,1,20,TNT,0,325,57,t,neu,lei9,2870.0,2,0.337
16,1,20,TNT,0,326,22,nt,neg2,cookingpan3,6821.0,0,0.586
16,1,20,TNT,0,327,25,nt,neg2,broom11,9321.0,1,0.286
16,1,20,TNT,0,328,59,t,neu,turtle3,7057.0,2,0.353
16,1,20,TNT,0,329,55,t,neu,decorativescreen10,2487.0,2,0.454
16,1,20,TNT,0,330,49,t,neu,balloon10,2308.0,2,0.27
16,1,20,TNT,0,331,19,nt,neg2,glove6,2590.0,0,0.537
16,1,20,TNT,0,332,21,nt,neg2,clock1,3500.0,0,0.803
16,1,20,TNT,0,333,31,t,pos,cushion2,1601.0,2,0.404
16,1,20,TNT,0,334,38,t,pos,dresser12,2373.0,2,0.388
16,1,20,TNT,0,335,15,nt,neg2,microscope1,2205.0,0,0.47
16,1,20,TNT,0,336,45,t,neu,cheesegrater14,1303.0,2,0.387
16,1,20,TNT,0,337,29,nt,neg2,tent4,9921.0,0,0.287
16,1,20,TNT,0,338,35,t,pos,hairbrush9,2091.0,1,0.687
16,1,20,TNT,0,339,39,t,pos,hanger9,2398.0,2,0.27
16,1,20,TNT,0,340,26,nt,neg2,rollerskates16,9425.0,0,0.27
16,1,20,TNT,0,341,28,nt,neg2,stapler5,9910.0,1,0.27
16,1,20,TNT,0,342,44,t,pos,suitcase9,8120.0,1,0.271
16,1,20,TNT,0,343,48,t,neu,camera7,2273.0,2,0.22
16,1,20,TNT,0,344,36,t,pos,windchime16,2154.0,2,0.637
16,1,20,TNT,0,345,52,t,neu,coin15,2383.0,1,0.304
16,1,20,TNT,0,346,17,nt,neg2,tape8,2456.0,0,0.504
16,1,20,TNT,0,347,41,t,pos,cookpot16,4626.0,2,0.337
16,1,20,TNT,0,348,20,nt,neg2,vase15,3195.0,1,0.32
16,1,20,TNT,1,349,23,nt,neg2,exercise_equipment5,9163.0,1,0.403
16,1,20,TNT,1,350,44,t,pos,suitcase9,8120.0,2,0.253
16,1,20,TNT,1,351,55,t,neu,decorativescreen10,2487.0,2,0.32
16,1,20,TNT,1,352,15,nt,neg2,microscope1,2205.0,0,0.47
16,1,20,TNT,1,353,40,t,pos,compass1,2530.0,2,0.287
16,1,20,TNT,1,354,17,nt,neg2,tape8,2456.0,1,0.253
16,1,20,TNT,1,355,19,nt,neg2,glove6,2590.0,1,0.52
16,1,20,TNT,1,356,36,t,pos,windchime16,2154.0,2,0.32
16,1,20,TNT,1,357,26,nt,neg2,rollerskates16,9425.0,0,0.354
16,1,20,TNT,1,358,31,t,pos,cushion2,1601.0,2,0.27
16,1,20,TNT,1,359,21,nt,neg2,clock1,3500.0,0,0.321
16,1,20,TNT,1,360,48,t,neu,camera7,2273.0,2,0.32
16,1,20,TNT,1,361,22,nt,neg2,cookingpan3,6821.0,0,0.32
16,1,20,TNT,1,362,52,t,neu,coin15,2383.0,1,0.287
16,1,20,TNT,1,363,41,t,pos,cookpot16,4626.0,0,0.921
16,1,20,TNT,1,364,57,t,neu,lei9,2870.0,2,0.271
16,1,20,TNT,1,365,59,t,neu,turtle3,7057.0,2,0.337
16,1,20,TNT,1,366,18,nt,neg2,frame10,2490.0,0,0.27
16,1,20,TNT,1,367,33,t,pos,umbrella2,1710.0,2,0.454
16,1,20,TNT,1,368,49,t,neu,balloon10,2308.0,2,0.271
16,1,20,TNT,1,369,35,t,pos,hairbrush9,2091.0,2,0.303
16,1,20,TNT,1,370,28,nt,neg2,stapler5,9910.0,1,0.903
16,1,20,TNT,1,371,24,nt,neg2,scissors5,9301.0,0,0.354
16,1,20,TNT,1,372,32,t,pos,button5,1659.0,2,0.521
16,1,20,TNT,1,373,47,t,neu,calculator3,2272.0,2,0.437
16,1,20,TNT,1,374,29,nt,neg2,tent4,9921.0,0,0.353
16,1,20,TNT,1,375,45,t,neu,cheesegrater14,1303.0,2,0.303
16,1,20,TNT,1,376,20,nt,neg2,vase15,3195.0,1,0.32
