IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
1710,filler,clock1,33,pos,14,1,23,2,837,1,1.3120735689999492
8031,post_new,NA,84,pos,14,1,23,2,838,1,2.0568427289999818
8470,sub,coin15,50,pos,14,1,23,2,839,1,0.7130284239992761
9341,post_new,NA,132,neg,14,1,23,2,840,1,0.8673955460008074
1274,post_new,NA,92,neg,14,1,23,2,841,1,0.8396113580001838
4614,sub,frame10,52,pos,14,1,23,2,842,1,2.3619934289999946
2800,post_new,NA,103,neg,14,1,23,2,843,1,0.7885935170006633
2980,t,dresser12,58,neu,14,1,23,2,844,1,0.7787593840002955
9452,post_new,NA,141,neg,14,1,23,2,845,1,0.7239711570000509
2302,sub,butterfly8,18,pos,14,1,23,2,846,1,0.7400311540004623
2400,post_new,NA,159,neu,14,1,23,2,847,1,0.9289368919999106
4626,filler,cheesegrater14,41,pos,14,1,23,2,848,1,0.620178584000314
2383,t,frame10,52,neu,14,1,23,2,849,1,0.6119590579992291
8232,post_new,NA,179,neu,14,1,23,2,850,1,0.6892370519999531
2683,b,powerstrip12,0,neg1,14,1,23,2,851,1,1.2979300679999142
1601,filler,microwave1,31,pos,14,1,23,2,852,1,1.8007000729994616
2373,t,abacus9,38,pos,14,1,23,2,853,1,0.7788766869998653
2398,filler,seashell9,39,pos,14,1,23,2,854,1,0.7617549679998774
6242,post_new,NA,111,neg,14,1,23,2,855,1,0.7732202369998049
2308,t,microscope1,49,neu,14,1,23,2,856,1,0.8331900060002226
2435,post_new,NA,161,neu,14,1,23,2,857,1,0.7740244149999853
6520,b,scale13,5,neg1,14,1,23,2,858,1,0.6650162330006424
2154,t,cookpot16,36,pos,14,1,23,2,859,1,0.8801804599997922
2489,post_new,NA,162,neu,14,1,23,2,860,1,0.7692047600003207
2273,filler,ringbinder8,48,neu,14,1,23,2,861,1,0.7270750159996169
6212,b,stapler5,4,neg1,14,1,23,2,862,1,1.3690030979996664
2593,post_new,NA,167,neu,14,1,23,2,863,1,0.7017525979999846
9908,b,handbag3,13,neg1,14,1,23,2,864,1,1.0379470170000786
8118,sub,nunchaku16,53,pos,14,1,23,2,865,0,0.7651863739993132
9435,post_new,NA,140,neg,14,1,23,2,866,1,0.9534861319998527
8162,sub,camera7,22,pos,14,1,23,2,867,1,0.6637967269998626
9423,post_new,NA,136,neg,14,1,23,2,868,1,0.7517628319992582
