IAPS,valence,cond,cue,sub,time,order
2037,pos,sub,glove6,2037,0,306
7580,pos,pre_new,windchime16,7580,0,307
5199,pos,sub,seashell9,5199,0,308
8161,pos,sub,calculator3,8161,0,309
2302,pos,sub,pokercard14,2302,0,310
7440,pos,sub,bearteddy16,7440,0,311
8205,pos,pre_new,hanger9,8205,0,312
2370,pos,pre_new,chessboard14,2370,0,313
2339,pos,sub,tape8,2339,0,314
8330,pos,pre_new,microwave1,8330,0,315
8470,pos,sub,dumbbell0,8470,0,316
2331,pos,sub,scale13,2331,0,317
8210,pos,sub,tent4,8210,0,318
2158,pos,pre_new,vase15,2158,0,319
2388,pos,sub,coin15,2388,0,320
1811,pos,sub,rollerskates16,1811,0,321
1419,pos,sub,backpack6,1419,0,322
2598,pos,sub,handbag3,2598,0,323
5726,pos,sub,frisbee0,5726,0,324
2594,pos,sub,cushion2,2594,0,325
4628,pos,sub,garbagetrash14,4628,0,326
2791,pos,pre_new,butterfly8,2791,0,327
1463,pos,pre_new,gift15,1463,0,328
2030,pos,sub,balloon10,2030,0,329
8031,pos,sub,cookie1,8031,0,330
8499,pos,pre_new,decorativescreen10,8499,0,331
2389,pos,sub,tennisracquet7,2389,0,332
2314,pos,sub,key3,2314,0,333
2391,pos,pre_new,toothpaste14,2391,0,334
5621,pos,sub,suitcase9,5621,0,335
8030,pos,sub,scissors5,8030,0,336
7405,pos,sub,microscope1,7405,0,337
1650,pos,sub,ringbinder8,1650,0,338
5910,pos,sub,doorknob4,5910,0,339
2224,pos,sub,broom11,2224,0,340
1605,pos,sub,umbrella2,1605,0,341
2346,pos,sub,cheese8,2346,0,342
8162,pos,sub,lei9,8162,0,343
4612,pos,pre_new,nunchaku16,4612,0,344
8370,pos,sub,hourglass16,8370,0,345
2560,pos,sub,cookpot16,2560,0,346
7280,pos,sub,cookingpan3,7280,0,347
2035,pos,sub,exercise_equipment5,2035,0,348
4599,pos,sub,frame10,4599,0,349
2655,pos,sub,hairbrush9,2655,0,350
2314,pos,sub,key3,2314,1,361
2339,pos,sub,tape8,2339,1,362
5726,pos,sub,frisbee0,5726,1,363
2655,pos,sub,hairbrush9,2655,1,364
8210,pos,sub,tent4,8210,1,365
4599,pos,sub,frame10,4599,1,366
2224,pos,sub,broom11,2224,1,367
8470,pos,sub,dumbbell0,8470,1,368
8162,pos,sub,lei9,8162,1,369
7280,pos,sub,cookingpan3,7280,1,370
8370,pos,sub,hourglass16,8370,1,371
2331,pos,sub,scale13,2331,1,372
8031,pos,sub,cookie1,8031,1,373
1811,pos,sub,rollerskates16,1811,1,374
7405,pos,sub,microscope1,7405,1,375
1419,pos,sub,backpack6,1419,1,376
8030,pos,sub,scissors5,8030,1,377
2388,pos,sub,coin15,2388,1,378
1650,pos,sub,ringbinder8,1650,1,379
2346,pos,sub,cheese8,2346,1,380
5910,pos,sub,doorknob4,5910,1,381
8161,pos,sub,calculator3,8161,1,382
5621,pos,sub,suitcase9,5621,1,383
5199,pos,sub,seashell9,5199,1,384
2594,pos,sub,cushion2,2594,1,385
2302,pos,sub,pokercard14,2302,1,386
7440,pos,sub,bearteddy16,7440,1,387
2035,pos,sub,exercise_equipment5,2035,1,388
2037,pos,sub,glove6,2037,1,389
1605,pos,sub,umbrella2,1605,1,390
2030,pos,sub,balloon10,2030,1,391
4628,pos,sub,garbagetrash14,4628,1,392
2598,pos,sub,handbag3,2598,1,393
2560,pos,sub,cookpot16,2560,1,394
2389,pos,sub,tennisracquet7,2389,1,395
