IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
2308,filler,cushion2,49,neu,15,1,22,1,0
2373,filler,key3,38,pos,15,1,22,1,1
2273,filler,scale13,48,neu,15,1,22,1,2
2870,filler,cheese8,57,neu,15,1,22,1,3
4626,filler,calculator3,41,pos,15,1,22,1,4
6838,nt,hourglass16,6,neg1,15,1,22,1,5
2490,b,pokercard14,18,neg2,15,1,22,1,6
1659,t,backpack6,32,pos,15,1,22,1,7
9908,nt,bearteddy16,13,neg1,15,1,22,1,8
9187,nt,turtle3,8,neg1,15,1,22,1,9
2456,b,dumbbell0,17,neg2,15,1,22,1,10
3500,b,bowtie11,21,neg2,15,1,22,1,11
6821,b,hanger9,22,neg2,15,1,22,1,12
2102,t,compass1,46,neu,15,1,22,1,13
9075,nt,vase15,7,neg1,15,1,22,1,14
2205,b,rollerskates16,15,neg2,15,1,22,1,15
9163,b,windchime16,23,neg2,15,1,22,1,16
2382,t,broom11,51,neu,15,1,22,1,17
1920,t,microscope1,34,pos,15,1,22,1,18
1303,t,ringbinder8,45,neu,15,1,22,1,19
9415,nt,lei9,10,neg1,15,1,22,1,20
9321,b,cookie1,25,neg2,15,1,22,1,21
7325,t,doorknob4,43,pos,15,1,22,1,22
2396,t,abacus9,54,neu,15,1,22,1,23
2154,t,cheesegrater14,36,pos,15,1,22,1,24
3195,b,button5,20,neg2,15,1,22,1,25
9910,b,exercise_equipment5,28,neg2,15,1,22,1,26
2345.1,b,hairbrush9,16,neg2,15,1,22,1,27
2530,t,clock1,40,pos,15,1,22,1,28
9921,b,seashell9,29,neg2,15,1,22,1,29
2749,t,bonzai14,56,neu,15,1,22,1,30
1601,t,powerstrip12,31,pos,15,1,22,1,31
9909,nt,umbrella2,14,neg1,15,1,22,1,32
2487,t,toothpaste14,55,neu,15,1,22,1,33
2309,t,camera7,50,neu,15,1,22,1,34
2272,t,frisbee0,47,neu,15,1,22,1,35
7057,t,butterfly8,59,neu,15,1,22,1,36
9611,nt,lock14,12,neg1,15,1,22,1,37
2683,nt,microwave1,0,neg1,15,1,22,1,38
6520,nt,cookpot16,5,neg1,15,1,22,1,39
9599,b,balloon10,27,neg2,15,1,22,1,40
2091,t,scissors5,35,pos,15,1,22,1,41
2590,b,tape8,19,neg2,15,1,22,1,42
1340,t,tent4,30,pos,15,1,22,1,43
9301,b,nunchaku16,24,neg2,15,1,22,1,44
2750,nt,coin15,1,neg1,15,1,22,1,45
9290,nt,garbagetrash14,9,neg1,15,1,22,1,46
2340,t,cookingpan3,37,pos,15,1,22,1,47
2390,t,frame10,53,neu,15,1,22,1,48
3300,nt,dresser12,3,neg1,15,1,22,1,49
9425,b,stapler5,26,neg2,15,1,22,1,50
9428,nt,suitcase9,11,neg1,15,1,22,1,51
3216,nt,decorativescreen10,2,neg1,15,1,22,1,52
6212,nt,chessboard14,4,neg1,15,1,22,1,53
1710,t,handbag3,33,pos,15,1,22,1,54
2980,filler,tennisracquet7,58,neu,15,1,22,1,55
2383,filler,fan2,52,neu,15,1,22,1,56
7230,filler,glove6,42,pos,15,1,22,1,57
8120,filler,gift15,44,pos,15,1,22,1,58
2398,filler,binoculars14,39,pos,15,1,22,1,59
