IAPS,valence,cond,cue,sub,time,order
2224,pos,sub,tent4,2224,0,301
7280,pos,sub,hairbrush9,7280,0,302
5780,pos,sub,nunchaku16,5780,0,303
4616,pos,sub,calculator3,4616,0,304
2331,pos,sub,dumbbell0,2331,0,305
8031,pos,pre_new,compass1,8031,0,306
1650,pos,sub,cookie1,1650,0,307
2299,pos,sub,frame10,2299,0,308
4612,pos,sub,binoculars14,4612,0,309
2035,pos,sub,vase15,2035,0,310
8470,pos,pre_new,toothpaste14,8470,0,311
5910,pos,pre_new,ringbinder8,5910,0,312
5726,pos,sub,cushion2,5726,0,313
8210,pos,sub,tape8,8210,0,314
2655,pos,pre_new,handbag3,2655,0,315
2791,pos,sub,glove6,2791,0,316
2346,pos,pre_new,key3,2346,0,317
2030,pos,sub,microscope1,2030,0,318
2388,pos,pre_new,tennisracquet7,2388,0,319
4700,pos,sub,scale13,4700,0,320
1731,pos,sub,powerstrip12,1731,0,321
4599,pos,sub,broom11,4599,0,322
8205,pos,sub,button5,8205,0,323
2341,pos,pre_new,seashell9,2341,0,324
2314,pos,pre_new,fan2,2314,0,325
4614,pos,sub,camera7,4614,0,326
2370,pos,pre_new,cookpot16,2370,0,327
2391,pos,sub,decorativescreen10,2391,0,328
2208,pos,sub,umbrella2,2208,0,329
5833,pos,sub,balloon10,5833,0,330
2594,pos,sub,lei9,2594,0,331
8161,pos,sub,cheese8,8161,0,332
8492,pos,sub,cheesegrater14,8492,0,333
5470,pos,sub,pokercard14,5470,0,334
8497,pos,sub,coin15,8497,0,335
8499,pos,pre_new,scissors5,8499,0,336
4628,pos,sub,bowtie11,4628,0,337
2158,pos,sub,backpack6,2158,0,338
2339,pos,sub,dresser12,2339,0,339
8030,pos,sub,rollerskates16,8030,0,340
1463,pos,sub,cookingpan3,1463,0,341
2389,pos,sub,bonzai14,2389,0,342
2560,pos,sub,bearteddy16,2560,0,343
2156,pos,sub,turtle3,2156,0,344
7580,pos,sub,hourglass16,7580,0,345
2389,pos,sub,bonzai14,2389,1,356
1731,pos,sub,powerstrip12,1731,1,357
4628,pos,sub,bowtie11,4628,1,358
2156,pos,sub,turtle3,2156,1,359
2594,pos,sub,lei9,2594,1,360
5780,pos,sub,nunchaku16,5780,1,361
1463,pos,sub,cookingpan3,1463,1,362
2030,pos,sub,microscope1,2030,1,363
2391,pos,sub,decorativescreen10,2391,1,364
4700,pos,sub,scale13,4700,1,365
2158,pos,sub,backpack6,2158,1,366
8161,pos,sub,cheese8,8161,1,367
5470,pos,sub,pokercard14,5470,1,368
7280,pos,sub,hairbrush9,7280,1,369
2299,pos,sub,frame10,2299,1,370
2339,pos,sub,dresser12,2339,1,371
4614,pos,sub,camera7,4614,1,372
5726,pos,sub,cushion2,5726,1,373
8492,pos,sub,cheesegrater14,8492,1,374
5833,pos,sub,balloon10,5833,1,375
2791,pos,sub,glove6,2791,1,376
4599,pos,sub,broom11,4599,1,377
4616,pos,sub,calculator3,4616,1,378
2035,pos,sub,vase15,2035,1,379
1650,pos,sub,cookie1,1650,1,380
8210,pos,sub,tape8,8210,1,381
2208,pos,sub,umbrella2,2208,1,382
2331,pos,sub,dumbbell0,2331,1,383
8497,pos,sub,coin15,8497,1,384
2560,pos,sub,bearteddy16,2560,1,385
4612,pos,sub,binoculars14,4612,1,386
8205,pos,sub,button5,8205,1,387
7580,pos,sub,hourglass16,7580,1,388
8030,pos,sub,rollerskates16,8030,1,389
2224,pos,sub,tent4,2224,1,390
