IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,val,aro,correct
2749,filler,abacus9,56,neu,39,1,22,1,913,5,1,1
2390,filler,hanger9,53,neu,39,1,22,1,914,5,1,1
2091,filler,microscope1,35,pos,39,1,22,1,915,5,1,1
2870,filler,vase15,57,neu,39,1,22,1,916,5,1,1
2154,filler,hourglass16,36,pos,39,1,22,1,917,5,1,1
1601,t,bonzai14,31,pos,39,1,22,1,918,5,1,1
6212,nt,pokercard14,4,neg1,39,1,22,1,919,5,1,1
6520,nt,broom11,5,neg1,39,1,22,1,920,5,1,1
2309,t,camera7,50,neu,39,1,22,1,921,5,1,1
7230,t,scale13,42,pos,39,1,22,1,922,5,1,1
8120,t,powerstrip12,44,pos,39,1,22,1,923,5,1,1
9290,nt,nunchaku16,9,neg1,39,1,22,1,924,5,1,1
9425,b,fan2,26,neg2,39,1,22,1,925,3,1,1
3500,b,windchime16,21,neg2,39,1,22,1,926,5,1,1
9321,b,hairbrush9,25,neg2,39,1,22,1,927,5,1,1
9921,b,doorknob4,29,neg2,39,1,22,1,928,5,1,1
2205,b,clock1,15,neg2,39,1,22,1,929,5,1,1
3216,nt,coin15,2,neg1,39,1,22,1,930,5,1,1
2396,t,bowtie11,54,neu,39,1,22,1,931,5,1,1
9611,nt,key3,12,neg1,39,1,22,1,932,5,1,1
2683,nt,balloon10,0,neg1,39,1,22,1,933,5,1,1
3300,nt,decorativescreen10,3,neg1,39,1,22,1,934,5,1,1
6821,b,calculator3,22,neg2,39,1,22,1,935,5,1,1
2102,t,tape8,46,neu,39,1,22,1,936,5,1,1
2490,b,cushion2,18,neg2,39,1,22,1,937,6,1,1
2980,t,microwave1,58,neu,39,1,22,1,938,5,1,1
2382,t,binoculars14,51,neu,39,1,22,1,939,5,1,1
2750,nt,stapler5,1,neg1,39,1,22,1,940,5,1,1
9428,nt,bearteddy16,11,neg1,39,1,22,1,941,5,1,1
4626,t,compass1,41,pos,39,1,22,1,942,5,1,1
2272,t,garbagetrash14,47,neu,39,1,22,1,943,5,1,1
2487,t,cookpot16,55,neu,39,1,22,1,944,5,1,1
9163,b,umbrella2,23,neg2,39,1,22,1,945,5,1,1
7057,t,button5,59,neu,39,1,22,1,946,5,1,1
9909,nt,exercise_equipment5,14,neg1,39,1,22,1,947,5,1,1
2273,t,cheesegrater14,48,neu,39,1,22,1,948,5,1,1
9910,b,butterfly8,28,neg2,39,1,22,1,949,4,1,1
2340,t,chessboard14,37,pos,39,1,22,1,950,6,1,1
9187,nt,cookie1,8,neg1,39,1,22,1,951,5,1,1
2590,b,handbag3,19,neg2,39,1,22,1,952,5,1,1
9301,b,frisbee0,24,neg2,39,1,22,1,953,2,1,1
3195,b,lock14,20,neg2,39,1,22,1,954,2,1,1
2373,t,glove6,38,pos,39,1,22,1,955,6,1,1
7325,t,dresser12,43,pos,39,1,22,1,956,5,1,1
2456,b,suitcase9,17,neg2,39,1,22,1,957,5,1,1
9415,nt,backpack6,10,neg1,39,1,22,1,958,5,1,1
6838,nt,seashell9,6,neg1,39,1,22,1,959,5,2,1
2308,t,gift15,49,neu,39,1,22,1,960,5,1,1
9599,b,frame10,27,neg2,39,1,22,1,961,5,1,1
2530,t,toothpaste14,40,pos,39,1,22,1,962,5,1,1
9075,nt,turtle3,7,neg1,39,1,22,1,963,5,1,1
1710,t,rollerskates16,33,pos,39,1,22,1,964,6,1,1
2345.1,b,cookingpan3,16,neg2,39,1,22,1,965,4,1,1
9908,nt,lei9,13,neg1,39,1,22,1,966,7,4,1
1340,t,ringbinder8,30,pos,39,1,22,1,967,5,1,1
1659,filler,tent4,32,pos,39,1,22,1,968,6,1,1
1303,filler,cheese8,45,neu,39,1,22,1,969,5,1,1
2383,filler,scissors5,52,neu,39,1,22,1,970,5,1,1
1920,filler,tennisracquet7,34,pos,39,1,22,1,971,5,1,1
2398,filler,dumbbell0,39,pos,39,1,22,1,972,6,1,0
