IAPS,valence,cond,cue,sub,time,order
2216,pos,sub,toothpaste14,2216,0,300
2370,pos,sub,cushion2,2370,0,301
8497,pos,sub,ringbinder8,8497,0,302
4599,pos,pre_new,frame10,4599,0,303
5621,pos,sub,button5,5621,0,304
1750,pos,pre_new,cheesegrater14,1750,0,305
2302,pos,pre_new,hanger9,2302,0,306
8205,pos,sub,handbag3,8205,0,307
2655,pos,pre_new,backpack6,2655,0,308
5199,pos,sub,cookingpan3,5199,0,309
5726,pos,sub,hourglass16,5726,0,310
8600,pos,pre_new,exercise_equipment5,8600,0,311
8031,pos,sub,calculator3,8031,0,312
5833,pos,sub,turtle3,5833,0,313
2208,pos,sub,coin15,2208,0,314
2299,pos,sub,suitcase9,2299,0,315
2030,pos,sub,nunchaku16,2030,0,316
2158,pos,sub,pokercard14,2158,0,317
2224,pos,sub,butterfly8,2224,0,318
7440,pos,sub,clock1,7440,0,319
8496,pos,sub,chessboard14,8496,0,320
2791,pos,pre_new,cheese8,2791,0,321
2388,pos,sub,dumbbell0,2388,0,322
1463,pos,sub,tape8,1463,0,323
1650,pos,pre_new,decorativescreen10,1650,0,324
7580,pos,pre_new,abacus9,7580,0,325
1441,pos,sub,scissors5,1441,0,326
2331,pos,sub,microscope1,2331,0,327
8330,pos,sub,gift15,8330,0,328
8370,pos,sub,windchime16,8370,0,329
2594,pos,sub,frisbee0,2594,0,330
2314,pos,pre_new,cookpot16,2314,0,331
2560,pos,sub,lei9,2560,0,332
7405,pos,sub,vase15,7405,0,333
4612,pos,sub,powerstrip12,4612,0,334
2156,pos,sub,camera7,2156,0,335
8499,pos,sub,microwave1,8499,0,336
8118,pos,sub,key3,8118,0,337
4614,pos,sub,doorknob4,4614,0,338
1811,pos,sub,bowtie11,1811,0,339
1731,pos,sub,stapler5,1731,0,340
2598,pos,pre_new,compass1,2598,0,341
2339,pos,sub,dresser12,2339,0,342
8470,pos,sub,hairbrush9,8470,0,343
4700,pos,sub,bearteddy16,4700,0,344
5199,pos,sub,cookingpan3,5199,1,355
2560,pos,sub,lei9,2560,1,356
2216,pos,sub,toothpaste14,2216,1,357
7440,pos,sub,clock1,7440,1,358
2030,pos,sub,nunchaku16,2030,1,359
2331,pos,sub,microscope1,2331,1,360
2594,pos,sub,frisbee0,2594,1,361
1811,pos,sub,bowtie11,1811,1,362
8370,pos,sub,windchime16,8370,1,363
8205,pos,sub,handbag3,8205,1,364
8496,pos,sub,chessboard14,8496,1,365
2299,pos,sub,suitcase9,2299,1,366
4614,pos,sub,doorknob4,4614,1,367
4700,pos,sub,bearteddy16,4700,1,368
1731,pos,sub,stapler5,1731,1,369
8497,pos,sub,ringbinder8,8497,1,370
8118,pos,sub,key3,8118,1,371
2370,pos,sub,cushion2,2370,1,372
2224,pos,sub,butterfly8,2224,1,373
1463,pos,sub,tape8,1463,1,374
2158,pos,sub,pokercard14,2158,1,375
2388,pos,sub,dumbbell0,2388,1,376
1441,pos,sub,scissors5,1441,1,377
4612,pos,sub,powerstrip12,4612,1,378
8470,pos,sub,hairbrush9,8470,1,379
8330,pos,sub,gift15,8330,1,380
8031,pos,sub,calculator3,8031,1,381
7405,pos,sub,vase15,7405,1,382
5833,pos,sub,turtle3,5833,1,383
5726,pos,sub,hourglass16,5726,1,384
5621,pos,sub,button5,5621,1,385
8499,pos,sub,microwave1,8499,1,386
2339,pos,sub,dresser12,2339,1,387
2156,pos,sub,camera7,2156,1,388
2208,pos,sub,coin15,2208,1,389
