IAPS,valence,cond,cue,sub,time,order
5621,pos,sub,bowtie11,5621,0,323
4612,pos,sub,calculator3,4612,0,324
8330,pos,sub,butterfly8,8330,0,325
4616,pos,sub,dumbbell0,4616,0,326
4700,pos,sub,dresser12,4700,0,327
2346,pos,sub,umbrella2,2346,0,328
8600,pos,sub,powerstrip12,8600,0,329
8499,pos,sub,nunchaku16,8499,0,330
1463,pos,pre_new,toothpaste14,1463,0,331
2037,pos,pre_new,vase15,2037,0,332
5199,pos,sub,button5,5199,0,333
8210,pos,sub,backpack6,8210,0,334
4599,pos,sub,hourglass16,4599,0,335
1650,pos,sub,cookingpan3,1650,0,336
4614,pos,sub,stapler5,4614,0,337
8470,pos,pre_new,turtle3,8470,0,338
2370,pos,sub,handbag3,2370,0,339
5470,pos,sub,cheese8,5470,0,340
8497,pos,pre_new,coin15,8497,0,341
8030,pos,sub,decorativescreen10,8030,0,342
4628,pos,pre_new,chessboard14,4628,0,343
2791,pos,sub,seashell9,2791,0,344
5726,pos,sub,garbagetrash14,5726,0,345
2299,pos,pre_new,microscope1,2299,0,346
1419,pos,sub,binoculars14,1419,0,347
2302,pos,pre_new,microwave1,2302,0,348
2341,pos,sub,suitcase9,2341,0,349
2030,pos,sub,cookie1,2030,0,350
1441,pos,sub,clock1,1441,0,351
8162,pos,sub,tennisracquet7,8162,0,352
8031,pos,sub,bonzai14,8031,0,353
2216,pos,sub,camera7,2216,0,354
2594,pos,sub,glove6,2594,0,355
1605,pos,pre_new,frisbee0,1605,0,356
8370,pos,pre_new,frame10,8370,0,357
7280,pos,sub,pokercard14,7280,0,358
2560,pos,sub,ringbinder8,2560,0,359
7440,pos,pre_new,scissors5,7440,0,360
2314,pos,sub,abacus9,2314,0,361
2388,pos,sub,windchime16,2388,0,362
8161,pos,sub,tape8,8161,0,363
1731,pos,sub,scale13,1731,0,364
1750,pos,sub,cheesegrater14,1750,0,365
7279,pos,sub,hairbrush9,7279,0,366
5780,pos,sub,tent4,5780,0,367
8031,pos,sub,bonzai14,8031,1,378
2341,pos,sub,suitcase9,2341,1,379
5780,pos,sub,tent4,5780,1,380
5470,pos,sub,cheese8,5470,1,381
8161,pos,sub,tape8,8161,1,382
7280,pos,sub,pokercard14,7280,1,383
1419,pos,sub,binoculars14,1419,1,384
4700,pos,sub,dresser12,4700,1,385
8210,pos,sub,backpack6,8210,1,386
2346,pos,sub,umbrella2,2346,1,387
8330,pos,sub,butterfly8,8330,1,388
8030,pos,sub,decorativescreen10,8030,1,389
1650,pos,sub,cookingpan3,1650,1,390
8162,pos,sub,tennisracquet7,8162,1,391
1441,pos,sub,clock1,1441,1,392
2030,pos,sub,cookie1,2030,1,393
2216,pos,sub,camera7,2216,1,394
4599,pos,sub,hourglass16,4599,1,395
2560,pos,sub,ringbinder8,2560,1,396
4614,pos,sub,stapler5,4614,1,397
4616,pos,sub,dumbbell0,4616,1,398
7279,pos,sub,hairbrush9,7279,1,399
2594,pos,sub,glove6,2594,1,400
2388,pos,sub,windchime16,2388,1,401
2314,pos,sub,abacus9,2314,1,402
5621,pos,sub,bowtie11,5621,1,403
8499,pos,sub,nunchaku16,8499,1,404
1731,pos,sub,scale13,1731,1,405
5199,pos,sub,button5,5199,1,406
4612,pos,sub,calculator3,4612,1,407
8600,pos,sub,powerstrip12,8600,1,408
2791,pos,sub,seashell9,2791,1,409
5726,pos,sub,garbagetrash14,5726,1,410
1750,pos,sub,cheesegrater14,1750,1,411
2370,pos,sub,handbag3,2370,1,412
