IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,val,aro,correct
2382,filler,bearteddy16,51,neu,32,0,20,1,260,6,3,1
2091,filler,umbrella2,35,pos,32,0,20,1,261,8,6,1
2980,filler,pokercard14,58,neu,32,0,20,1,262,5,1,1
2530,filler,toothpaste14,40,pos,32,0,20,1,263,7,4,1
1920,filler,cheesegrater14,34,pos,32,0,20,1,264,7,5,1
9910,b,stapler5,28,neg2,32,0,20,1,265,2,6,1
9187,nt,frame10,8,neg1,32,0,20,1,266,1,7,1
7057,t,doorknob4,59,neu,32,0,20,1,267,7,1,1
1659,t,hairbrush9,32,pos,32,0,20,1,268,5,6,1
9075,nt,vase15,7,neg1,32,0,20,1,269,2,6,1
9301,b,glove6,24,neg2,32,0,20,1,270,1,6,1
2309,t,key3,50,neu,32,0,20,1,271,6,6,1
6838,nt,turtle3,6,neg1,32,0,20,1,272,4,6,1
9908,nt,balloon10,13,neg1,32,0,20,1,273,1,8,1
2102,t,camera7,46,neu,32,0,20,1,274,6,2,1
6212,nt,cushion2,4,neg1,32,0,20,1,275,1,7,1
6821,b,chessboard14,22,neg2,32,0,20,1,276,2,7,1
2205,b,powerstrip12,15,neg2,32,0,20,1,277,3,5,1
2490,b,lock14,18,neg2,32,0,20,1,278,5,2,1
9415,nt,fan2,10,neg1,32,0,20,1,279,3,5,1
2456,b,microwave1,17,neg2,32,0,20,1,280,5,5,1
2345.1,b,lei9,16,neg2,32,0,20,1,281,3,5,1
1340,t,exercise_equipment5,30,pos,32,0,20,1,282,9,6,1
2373,t,calculator3,38,pos,32,0,20,1,283,9,8,1
2396,t,cookingpan3,54,neu,32,0,20,1,284,5,1,1
2683,nt,ringbinder8,0,neg1,32,0,20,1,285,2,5,1
2750,nt,cheese8,1,neg1,32,0,20,1,286,2,6,1
2273,t,button5,48,neu,32,0,20,1,287,6,8,1
9909,nt,seashell9,14,neg1,32,0,20,1,288,2,6,1
2383,t,dumbbell0,52,neu,32,0,20,1,289,6,4,1
6520,nt,tennisracquet7,5,neg1,32,0,20,1,290,3,6,1
1601,t,microscope1,31,pos,32,0,20,1,291,7,7,1
9611,nt,butterfly8,12,neg1,32,0,20,1,292,2,8,1
9921,b,frisbee0,29,neg2,32,0,20,1,293,2,6,1
2590,b,coin15,19,neg2,32,0,20,1,294,5,2,1
2487,t,dresser12,55,neu,32,0,20,1,295,5,7,1
9290,nt,decorativescreen10,9,neg1,32,0,20,1,296,2,6,1
9321,b,abacus9,25,neg2,32,0,20,1,297,2,6,1
9428,nt,gift15,11,neg1,32,0,20,1,298,,,0
3195,b,scissors5,20,neg2,32,0,20,1,299,1,7,1
4626,t,hanger9,41,pos,32,0,20,1,300,9,8,1
9163,b,bowtie11,23,neg2,32,0,20,1,301,2,6,1
7325,t,backpack6,43,pos,32,0,20,1,302,8,8,1
1710,t,rollerskates16,33,pos,32,0,20,1,303,8,3,1
2340,t,cookpot16,37,pos,32,0,20,1,304,8,6,1
2870,t,bonzai14,57,neu,32,0,20,1,305,7,7,1
3216,nt,windchime16,2,neg1,32,0,20,1,306,,,0
2749,t,tent4,56,neu,32,0,20,1,307,5,3,1
2398,t,cookie1,39,pos,32,0,20,1,308,7,7,1
3500,b,scale13,21,neg2,32,0,20,1,309,3,7,1
3300,nt,tape8,3,neg1,32,0,20,1,310,4,6,1
9599,b,garbagetrash14,27,neg2,32,0,20,1,311,2,6,1
1303,t,compass1,45,neu,32,0,20,1,312,6,7,1
2154,t,hourglass16,36,pos,32,0,20,1,313,9,6,1
9425,b,clock1,26,neg2,32,0,20,1,314,3,6,1
8120,filler,suitcase9,44,pos,32,0,20,1,315,9,6,1
7230,filler,handbag3,42,pos,32,0,20,1,316,6,6,1
2308,filler,nunchaku16,49,neu,32,0,20,1,317,7,6,1
2272,filler,binoculars14,47,neu,32,0,20,1,318,4,7,1
2390,filler,broom11,53,neu,32,0,20,1,319,6,6,1
