IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order,correct,RT
2158,post_new,NA,73,pos,28,0,23,2,740,1,0.6338264779997189
1271,post_new,NA,91,neg,28,0,23,2,741,1,0.6547913570002493
7279,sub,backpack6,59,pos,28,0,23,2,742,0,0.9208608769995408
9424,post_new,NA,137,neg,28,0,23,2,743,1,0.7349474339998778
2331,sub,lock14,23,pos,28,0,23,2,744,1,0.8013690329999008
9600,post_new,NA,142,neg,28,0,23,2,745,1,0.6701399329995184
1659,t,nunchaku16,32,pos,28,0,23,2,746,1,0.7641183699997782
8492,sub,nunchaku16,32,pos,28,0,23,2,747,1,0.6529408019996481
1303,filler,butterfly8,45,neu,28,0,23,2,748,1,0.6710676320008133
9301,nt,dumbbell0,24,neg2,28,0,23,2,749,1,0.5999114859996553
2655,sub,clock1,30,pos,28,0,23,2,750,1,0.6993128419999266
9910,nt,hairbrush9,28,neg2,28,0,23,2,751,1,0.7631885430000693
2102,t,vase15,46,neu,28,0,23,2,752,1,0.6288743909999539
2390,filler,bearteddy16,53,neu,28,0,23,2,753,1,0.7569020250002723
2691,post_new,NA,99,neg,28,0,23,2,754,1,1.668731968999964
2299,sub,handbag3,37,pos,28,0,23,2,755,1,0.7998185920005199
1710,t,binoculars14,33,pos,28,0,23,2,756,1,0.6196100259994637
8600,sub,compass1,16,pos,28,0,23,2,757,1,0.6627215240005171
6821,nt,cushion2,22,neg2,28,0,23,2,758,1,0.6501230309995663
7325,filler,garbagetrash14,43,pos,28,0,23,2,759,1,0.5498976829994717
9295,post_new,NA,127,neg,28,0,23,2,760,1,0.5993589660001817
2091,t,hourglass16,35,pos,28,0,23,2,761,1,0.5500491889997647
8232,post_new,NA,179,neu,28,0,23,2,762,1,0.6050817309997001
7230,filler,frame10,42,pos,28,0,23,2,763,1,0.549271005999799
2456,nt,seashell9,17,neg2,28,0,23,2,764,1,0.734865472999445
8118,post_new,NA,89,pos,28,0,23,2,765,1,0.724378737000734
2302,sub,broom11,40,pos,28,0,23,2,766,1,0.5719580880004287
3500,nt,stapler5,21,neg2,28,0,23,2,767,1,0.8991763410003841
4614,sub,frisbee0,25,pos,28,0,23,2,768,1,0.6021759599998404
2208,sub,scale13,26,pos,28,0,23,2,769,1,0.5995528879993799
5621,post_new,NA,68,pos,28,0,23,2,770,1,0.5508003439999811
4616,sub,seashell9,17,pos,28,0,23,2,771,1,0.6722664179997082
9050,post_new,NA,123,neg,28,0,23,2,772,1,0.7363756830000057
9302,post_new,NA,129,neg,28,0,23,2,773,1,1.0565641200000755
2345.1,nt,compass1,16,neg2,28,0,23,2,774,1,0.565268035000372
3211,post_new,NA,169,neu,28,0,23,2,775,1,0.9669255700000576
2340,t,handbag3,37,pos,28,0,23,2,776,1,0.5508400250000705
7620,post_new,NA,177,neu,28,0,23,2,777,1,0.7873426690002816
2373,filler,chessboard14,38,pos,28,0,23,2,778,1,0.5009597449998182
2030,sub,bowtie11,34,pos,28,0,23,2,779,1,1.1519263970003522
5780,post_new,NA,69,pos,28,0,23,2,780,1,0.583828027999516
2224,post_new,NA,82,pos,28,0,23,2,781,1,0.626085754000087
8330,sub,hourglass16,35,pos,28,0,23,2,782,1,0.6198693420001291
4599,sub,toothpaste14,49,pos,28,0,23,2,783,1,0.8369287260002238
1601,t,cheesegrater14,31,pos,28,0,23,2,784,1,1.6637176329995782
2191,post_new,NA,154,neu,28,0,23,2,785,1,0.7220277229998828
9290,b,button5,9,neg1,28,0,23,2,786,1,0.8496246549993884
4626,t,scissors5,41,pos,28,0,23,2,787,1,0.6487118420000115
2308,t,toothpaste14,49,neu,28,0,23,2,788,1,0.6035571189995608
9921,nt,exercise_equipment5,29,neg2,28,0,23,2,789,1,0.712526526000147
2396,t,glove6,54,neu,28,0,23,2,790,1,0.6002315349996934
9160,post_new,NA,124,neg,28,0,23,2,791,1,0.6566931299994394
2398,filler,windchime16,39,pos,28,0,23,2,792,0,0.8199412750000192
2435,post_new,NA,161,neu,28,0,23,2,793,1,1.897557696000149
2272,t,suitcase9,47,neu,28,0,23,2,794,1,0.5611228139996456
8470,sub,decorativescreen10,56,pos,28,0,23,2,795,1,1.1004775279998285
2521,post_new,NA,164,neu,28,0,23,2,796,1,0.7854384180000125
1920,t,bowtie11,34,pos,28,0,23,2,797,1,0.54839586900016
4700,post_new,NA,85,pos,28,0,23,2,798,1,0.7404995510005392
2590,nt,microwave1,19,neg2,28,0,23,2,799,1,0.5989394040007028
7359,post_new,NA,119,neg,28,0,23,2,800,1,0.9062938030001533
1750,sub,abacus9,50,pos,28,0,23,2,801,1,0.6999586920001093
1419,sub,cushion2,22,pos,28,0,23,2,802,1,0.6198882439994122
6520,b,camera7,5,neg1,28,0,23,2,803,1,0.6300359109991405
2388,sub,bonzai14,57,pos,28,0,23,2,804,1,0.5475588670005891
7580,sub,vase15,46,pos,28,0,23,2,805,1,0.5502992459996676
1645,post_new,NA,150,neu,28,0,23,2,806,1,0.5558938140002283
2593,post_new,NA,167,neu,28,0,23,2,807,1,0.6518596599999
9341,post_new,NA,132,neg,28,0,23,2,808,1,0.6749890440005402
2560,sub,tennisracquet7,20,pos,28,0,23,2,809,1,0.6617706950000866
5731,post_new,NA,172,neu,28,0,23,2,810,1,0.9515468769996005
3350,post_new,NA,109,neg,28,0,23,2,811,1,0.8064293560000806
9163,nt,lock14,23,neg2,28,0,23,2,812,1,1.2087982409993856
3220,post_new,NA,107,neg,28,0,23,2,813,1,0.8556809669998984
2346,post_new,NA,60,pos,28,0,23,2,814,1,0.9072622169996976
2382,t,cheese8,51,neu,28,0,23,2,815,1,0.6712348050004948
6838,b,rollerskates16,6,neg1,28,0,23,2,816,1,0.6000162330001331
9599,nt,microscope1,27,neg2,28,0,23,2,817,0,0.559358933999647
9300,post_new,NA,128,neg,28,0,23,2,818,1,0.7038942799999859
1340,t,clock1,30,pos,28,0,23,2,819,1,0.5991739310002231
8031,sub,coin15,18,pos,28,0,23,2,820,1,1.9121582449997732
1111,post_new,NA,90,neg,28,0,23,2,821,1,0.7592840190000061
9428,b,gift15,11,neg1,28,0,23,2,822,1,0.9736725190005018
9415,b,balloon10,10,neg1,28,0,23,2,823,1,0.6493798619994777
2683,b,cookpot16,0,neg1,28,0,23,2,824,1,0.6479344570007015
2490,nt,coin15,18,neg2,28,0,23,2,825,1,0.5272785039996961
8120,filler,dresser12,44,pos,28,0,23,2,826,1,0.5282974539995848
9001,post_new,NA,120,neg,28,0,23,2,827,1,0.5357285500003854
7234,post_new,NA,173,neu,28,0,23,2,828,1,0.5489821010005471
1811,sub,dumbbell0,24,pos,28,0,23,2,829,1,0.6214425420002954
2791,sub,tape8,55,pos,28,0,23,2,830,1,0.669857475999379
9326,post_new,NA,130,neg,28,0,23,2,831,1,0.9382340600004682
8370,post_new,NA,83,pos,28,0,23,2,832,0,1.7006441900002756
7440,post_new,NA,66,pos,28,0,23,2,833,1,0.6952669909996985
8210,post_new,NA,77,pos,28,0,23,2,834,1,0.6109611219999351
6315,post_new,NA,114,neg,28,0,23,2,835,1,0.7272239739995712
9321,nt,frisbee0,25,neg2,28,0,23,2,836,1,0.5725005190006414
9187,b,hanger9,8,neg1,28,0,23,2,837,1,0.5887462999999116
4621,post_new,NA,110,neg,28,0,23,2,838,1,0.9694121690008615
2032,post_new,NA,152,neu,28,0,23,2,839,1,0.6515530959995885
7057,t,backpack6,59,neu,28,0,23,2,840,1,0.5706872359996851
2703,post_new,NA,101,neg,28,0,23,2,841,1,0.5872876389994417
9425,nt,scale13,26,neg2,28,0,23,2,842,1,1.0560565690002477
2594,sub,microwave1,19,pos,28,0,23,2,843,1,0.6845191389993488
2026,post_new,NA,151,neu,28,0,23,2,844,1,0.6215754169998036
6212,b,turtle3,4,neg1,28,0,23,2,845,1,0.5614539440002773
1605,post_new,NA,80,pos,28,0,23,2,846,1,0.6996136349998778
8162,sub,scissors5,41,pos,28,0,23,2,847,1,0.6010475060002136
2870,t,bonzai14,57,neu,28,0,23,2,848,1,0.5696183330001077
2205,nt,calculator3,15,neg2,28,0,23,2,849,1,0.5703016910001679
5470,sub,cheese8,51,pos,28,0,23,2,850,1,1.1997392119992583
9332,post_new,NA,131,neg,28,0,23,2,851,1,0.7728870949995326
2749,t,decorativescreen10,56,neu,28,0,23,2,852,1,0.7491938860002847
3195,nt,tennisracquet7,20,neg2,28,0,23,2,853,1,0.557393547999709
9342,post_new,NA,133,neg,28,0,23,2,854,1,0.6666850970004816
2341,sub,calculator3,15,pos,28,0,23,2,855,1,0.5771871110000575
3216,b,fan2,2,neg1,28,0,23,2,856,1,0.9917165990000285
2314,post_new,NA,62,pos,28,0,23,2,857,1,0.6001346419998299
2391,sub,stapler5,21,pos,28,0,23,2,858,1,0.6504658759995436
4612,sub,exercise_equipment5,29,pos,28,0,23,2,859,1,0.8134760940001797
9611,b,lei9,12,neg1,28,0,23,2,860,1,0.5501467359999879
2530,t,broom11,40,pos,28,0,23,2,861,1,0.5507369169999947
2273,filler,powerstrip12,48,neu,28,0,23,2,862,1,0.5771922200001427
