subjID,gender,age,phaseName,order,itemID,TNTcond,valence,cue,tar
26,0,18,encoding,0,48,filler,neu,button5,2273.0
26,0,18,encoding,1,36,filler,pos,vase15,2154.0
26,0,18,encoding,2,30,filler,pos,cheese8,1340.0
26,0,18,encoding,3,57,filler,neu,cheesegrater14,2870.0
26,0,18,encoding,4,44,filler,pos,bonzai14,8120.0
26,0,18,encoding,5,17,nt,neg2,umbrella2,2456.0
26,0,18,encoding,6,28,nt,neg2,frame10,9910.0
26,0,18,encoding,7,40,t,pos,suitcase9,2530.0
26,0,18,encoding,8,49,t,neu,microscope1,2308.0
26,0,18,encoding,9,3,b,neg1,toothpaste14,3300.0
26,0,18,encoding,10,2,b,neg1,handbag3,3216.0
26,0,18,encoding,11,45,t,neu,glove6,1303.0
26,0,18,encoding,12,5,b,neg1,fan2,6520.0
26,0,18,encoding,13,37,t,pos,exercise_equipment5,2340.0
26,0,18,encoding,14,53,t,neu,seashell9,2390.0
26,0,18,encoding,15,9,b,neg1,turtle3,9290.0
26,0,18,encoding,16,19,nt,neg2,dresser12,2590.0
26,0,18,encoding,17,33,t,pos,tape8,1710.0
26,0,18,encoding,18,26,nt,neg2,cookingpan3,9425.0
26,0,18,encoding,19,0,b,neg1,binoculars14,2683.0
26,0,18,encoding,20,41,t,pos,ringbinder8,4626.0
26,0,18,encoding,21,10,b,neg1,butterfly8,9415.0
26,0,18,encoding,22,42,t,pos,bearteddy16,7230.0
26,0,18,encoding,23,32,t,pos,lei9,1659.0
26,0,18,encoding,24,13,b,neg1,broom11,9908.0
26,0,18,encoding,25,27,nt,neg2,abacus9,9599.0
26,0,18,encoding,26,1,b,neg1,key3,2750.0
26,0,18,encoding,27,8,b,neg1,doorknob4,9187.0
26,0,18,encoding,28,7,b,neg1,coin15,9075.0
26,0,18,encoding,29,59,t,neu,cookie1,7057.0
26,0,18,encoding,30,46,t,neu,tent4,2102.0
26,0,18,encoding,31,12,b,neg1,lock14,9611.0
26,0,18,encoding,32,43,t,pos,stapler5,7325.0
26,0,18,encoding,33,38,t,pos,hanger9,2373.0
26,0,18,encoding,34,20,nt,neg2,cushion2,3195.0
26,0,18,encoding,35,55,t,neu,frisbee0,2487.0
26,0,18,encoding,36,22,nt,neg2,decorativescreen10,6821.0
26,0,18,encoding,37,25,nt,neg2,dumbbell0,9321.0
26,0,18,encoding,38,39,t,pos,cookpot16,2398.0
26,0,18,encoding,39,31,t,pos,camera7,1601.0
26,0,18,encoding,40,56,t,neu,gift15,2749.0
26,0,18,encoding,41,15,nt,neg2,balloon10,2205.0
26,0,18,encoding,42,51,t,neu,hairbrush9,2382.0
26,0,18,encoding,43,18,nt,neg2,powerstrip12,2490.0
26,0,18,encoding,44,6,b,neg1,hourglass16,6838.0
26,0,18,encoding,45,54,t,neu,scissors5,2396.0
26,0,18,encoding,46,23,nt,neg2,nunchaku16,9163.0
26,0,18,encoding,47,29,nt,neg2,calculator3,9921.0
26,0,18,encoding,48,11,b,neg1,rollerskates16,9428.0
26,0,18,encoding,49,21,nt,neg2,pokercard14,3500.0
26,0,18,encoding,50,24,nt,neg2,garbagetrash14,9301.0
26,0,18,encoding,51,16,nt,neg2,tennisracquet7,2345.1
26,0,18,encoding,52,47,t,neu,bowtie11,2272.0
26,0,18,encoding,53,4,b,neg1,scale13,6212.0
26,0,18,encoding,54,14,b,neg1,compass1,9909.0
26,0,18,encoding,55,35,filler,pos,backpack6,2091.0
26,0,18,encoding,56,34,filler,pos,clock1,1920.0
26,0,18,encoding,57,50,filler,neu,microwave1,2309.0
26,0,18,encoding,58,58,filler,neu,windchime16,2980.0
26,0,18,encoding,59,52,filler,neu,chessboard14,2383.0
