IAPS,TNTcond,cue,itemID,valence,subjID,gender,age,CB,order
1303,filler,turtle3,45,neu,30,1,22,2,0
2308,filler,bearteddy16,49,neu,30,1,22,2,1
2272,filler,broom11,47,neu,30,1,22,2,2
4626,filler,lei9,41,pos,30,1,22,2,3
1340,filler,stapler5,30,pos,30,1,22,2,4
6212,b,toothpaste14,4,neg1,30,1,22,2,5
2383,t,balloon10,52,neu,30,1,22,2,6
2091,t,camera7,35,pos,30,1,22,2,7
7230,t,pokercard14,42,pos,30,1,22,2,8
8120,t,hanger9,44,pos,30,1,22,2,9
2273,t,microwave1,48,neu,30,1,22,2,10
9425,nt,exercise_equipment5,26,neg2,30,1,22,2,11
6838,b,cookpot16,6,neg1,30,1,22,2,12
9415,b,vase15,10,neg1,30,1,22,2,13
6520,b,lock14,5,neg1,30,1,22,2,14
9909,b,gift15,14,neg1,30,1,22,2,15
2750,b,calculator3,1,neg1,30,1,22,2,16
9187,b,hourglass16,8,neg1,30,1,22,2,17
2340,t,fan2,37,pos,30,1,22,2,18
3500,nt,microscope1,21,neg2,30,1,22,2,19
2154,t,abacus9,36,pos,30,1,22,2,20
2456,nt,button5,17,neg2,30,1,22,2,21
9075,b,dumbbell0,7,neg1,30,1,22,2,22
9908,b,binoculars14,13,neg1,30,1,22,2,23
2309,t,rollerskates16,50,neu,30,1,22,2,24
1710,t,tennisracquet7,33,pos,30,1,22,2,25
2345.1,nt,garbagetrash14,16,neg2,30,1,22,2,26
9921,nt,hairbrush9,29,neg2,30,1,22,2,27
1920,t,clock1,34,pos,30,1,22,2,28
2683,b,cookingpan3,0,neg1,30,1,22,2,29
2390,t,doorknob4,53,neu,30,1,22,2,30
2382,t,compass1,51,neu,30,1,22,2,31
9163,nt,powerstrip12,23,neg2,30,1,22,2,32
9290,b,cushion2,9,neg1,30,1,22,2,33
2487,t,tape8,55,neu,30,1,22,2,34
3300,b,decorativescreen10,3,neg1,30,1,22,2,35
1659,t,cheesegrater14,32,pos,30,1,22,2,36
9428,b,handbag3,11,neg1,30,1,22,2,37
9301,nt,butterfly8,24,neg2,30,1,22,2,38
2980,t,windchime16,58,neu,30,1,22,2,39
9611,b,scissors5,12,neg1,30,1,22,2,40
9910,nt,frame10,28,neg2,30,1,22,2,41
2398,t,coin15,39,pos,30,1,22,2,42
3216,b,seashell9,2,neg1,30,1,22,2,43
3195,nt,bonzai14,20,neg2,30,1,22,2,44
2490,nt,scale13,18,neg2,30,1,22,2,45
2590,nt,frisbee0,19,neg2,30,1,22,2,46
9599,nt,suitcase9,27,neg2,30,1,22,2,47
9321,nt,chessboard14,25,neg2,30,1,22,2,48
6821,nt,glove6,22,neg2,30,1,22,2,49
2205,nt,dresser12,15,neg2,30,1,22,2,50
2749,t,umbrella2,56,neu,30,1,22,2,51
7057,t,key3,59,neu,30,1,22,2,52
2396,t,cheese8,54,neu,30,1,22,2,53
7325,t,cookie1,43,pos,30,1,22,2,54
2373,filler,bowtie11,38,pos,30,1,22,2,55
2102,filler,backpack6,46,neu,30,1,22,2,56
2530,filler,tent4,40,pos,30,1,22,2,57
1601,filler,nunchaku16,31,pos,30,1,22,2,58
2870,filler,ringbinder8,57,neu,30,1,22,2,59
